,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,I,NEWS,O,REALITY-TV,ROMANCE,S,SPORT,T,THRILLER,WAR
58,El equipo redentor,(2022),7,97.0,7.4,76.0,6831.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
59,El espía inglés,(2020),12,112.0,7.1,65.0,61509.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
60,El favorito de la reina,(1955),,92.0,6.6,NaN,2890.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
61,El ferrocarril subterráneo,(2021),16,593.0,7.4,NaN,7411.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
62,El guerrero nº 13,(1999),13,102.0,6.6,42.0,125580.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
63,El hombre del norte,(2022),16,137.0,7.1,82.0,189136.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,El hundimiento,(2004),18,156.0,8.2,82.0,356059.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
65,El imperio del sol,(1987),A,153.0,7.7,62.0,126534.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
66,El intercambio,(2008),13,141.0,7.8,63.0,256270.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,El juicio de los 7 de Chicago,(2020),12,129.0,7.7,76.0,177276.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
68,El mundo en guerra,(1973–1974),,52.0,9.2,NaN,25947.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
69,El paraguas de la reina,(2022),,60.0,8.2,NaN,203.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
70,El patriota,(2000),13,165.0,7.2,63.0,276142.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
71,El profesor Marston y Wonder Woman,(2017),12,108.0,7.0,68.0,26661.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72,El puente de los espías,(2015),12,142.0,7.6,81.0,311730.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
73,El reino de los cielos,(2005),13,144.0,7.2,63.0,289711.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,El renacido,(2015),16,156.0,8.0,76.0,800533.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,El rey Arturo,(2004),13,126.0,6.3,46.0,169059.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,El rey proscrito,(2018),16,121.0,6.9,59.0,72795.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,El robo a Mussolini,(2022),16,90.0,5.5,NaN,1277.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,El sangriento Imperio romano,(2016–2019),16,48.0,7.0,NaN,8009.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,El sargento York,(1941),T,134.0,7.7,NaN,18604.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
80,El Álamo,(1960),,162.0,6.8,NaN,16204.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
81,El último baile,(2020),7,491.0,9.1,NaN,122574.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
82,El último duelo,(2021),16,152.0,7.4,67.0,154852.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
83,El último mohicano,(1992),13,112.0,7.7,76.0,171285.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,El último rey de Escocia,(2006),13,123.0,7.6,74.0,187194.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
85,Elegidos para el triunfo,(1993),T,98.0,7.0,60.0,105049.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,Elegidos para la gloria,(1983),A,193.0,7.8,91.0,61933.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87,Elizabeth,(1998),13,124.0,7.4,75.0,100091.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
88,Ellos no envejecerán,(II) (2018),R,99.0,8.2,91.0,35092.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
89,En el corazón del mar,(2015),12,122.0,6.9,47.0,139968.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,Enemigos públicos,(2009),13,140.0,7.0,70.0,304308.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,Espartaco,(1960),13,197.0,7.9,87.0,135603.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,Figuras ocultas,(2016),A/fig,127.0,7.8,74.0,230270.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
93,First Man (El primer hombre),(2018),7,141.0,7.3,84.0,188791.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
94,Foxcatcher,(2014),12,134.0,7.0,81.0,143477.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
95,Friends: The Reunion,(2021 TV Special),3,104.0,8.0,NaN,59740.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,Frontera,(2016–2018),16,60.0,7.1,NaN,21636.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
97,Gaslit,(2022),,60.0,7.3,NaN,5285.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
98,Genius,(I) (2017– ),12,43.0,8.2,NaN,18755.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
99,Gentleman Jack,(2019–2022),16,60.0,8.2,NaN,13894.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
100,George & Tammy,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
101,Gettysburg,(1993),18,271.0,7.6,NaN,29551.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
102,God of War,(2005 Video Game),,NaN,9.1,NaN,10424.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
103,God of War II,(2007 Video Game),,NaN,9.2,NaN,9358.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
104,God of War III,(2010 Video Game),,NaN,9.1,NaN,10730.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
105,Greyhound: Enemigos bajo el mar,(2020),12,91.0,7.0,64.0,97618.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
106,Guerra y paz,(2016),,380.0,8.1,NaN,23819.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
107,Gunpowder,(2017),18,59.0,6.6,NaN,10611.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
108,Habitación 207,(2022),,NaN,8.6,NaN,264.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
109,Hamilton,(2020),12,160.0,8.4,90.0,94085.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
110,Harriet: En busca de la libertad,(I) (2019),12/fig,125.0,6.7,66.0,27369.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,Hasta el último hombre,(2016),16,139.0,8.1,71.0,522957.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
112,Hermanos de sangre,(2001),13,594.0,9.4,NaN,466396.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
113,Hero de Zhang Yimou,(2002),13,120.0,7.9,85.0,181945.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114,Hijos del Tercer Reich,(2013),12,270.0,8.4,57.0,30121.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
115,Hollywood,(2020),16,347.0,7.5,NaN,37147.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
116,Hotel Bombay,(2018),16,123.0,7.6,62.0,64654.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
117,Hotel Rwanda,(2004),13,121.0,8.1,79.0,356020.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
118,Invictus,(2009),A,134.0,7.3,74.0,160488.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119,Ip Man,(2008),13,106.0,8.0,59.0,224448.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,It's a Sin,(2021),16,239.0,8.7,NaN,31679.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
121,JFK: Caso abierto,(1991),13,189.0,8.0,72.0,156877.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
122,Jeanne du Barry,,,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
123,John Adams,(2008),,71.0,8.5,NaN,33495.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
124,Judas y el mesías negro,(2021),16,126.0,7.4,85.0,80034.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
125,Killers of the Flower Moon,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
126,Kindred,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
127,Knightfall,(2017–2019),18,60.0,6.8,NaN,20546.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,Kurulus: Osman,(2019– ),,120.0,7.5,NaN,9966.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,La Emperatriz,(2022– ),,55.0,7.8,NaN,8123.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
130,La batalla de Inglaterra,(1969),18,132.0,6.9,NaN,22851.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
131,La chica del Vaticano: La desaparición de Emanuela Orlandi,(2022),12,233.0,7.2,NaN,1958.0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
132,La dama de oro,(2015),7,109.0,7.3,51.0,59590.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
133,La delgada línea roja,(1998),13,170.0,7.6,78.0,188603.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
134,La emperatriz rebelde,(2022),,113.0,7.0,81.0,1375.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
135,La excavación,(2021),12,112.0,7.1,73.0,75085.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
136,La favorita,(2018),12,119.0,7.5,91.0,200760.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,La gran apuesta,(2015),12,130.0,7.8,81.0,430586.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
138,La gran evasión,(1963),18,172.0,8.2,86.0,244937.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
139,La guerra de Charlie Wilson,(2007),13,102.0,7.0,67.0,119160.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140,La leyenda del samurái: 47 Ronin,(2013),12,128.0,6.2,28.0,161227.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
141,La lista de Schindler,(1993),12,195.0,9.0,94.0,1348061.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
142,La misión,(1986),13,125.0,7.4,55.0,61901.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
143,La muerte de Stalin,(2017),16,107.0,7.2,88.0,103781.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
144,La mujer rey,(2022),PG-13,135.0,6.7,77.0,32060.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
145,La noche más oscura,(2012),16,157.0,7.4,95.0,301791.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
146,La pandilla,(1992),T,121.0,6.9,46.0,21154.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
147,La princesa blanca,(2017),,60.0,7.5,NaN,13242.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
148,La reina blanca,(2013),16,60.0,7.7,NaN,28340.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
149,La vuelta al mundo en 80 días,(2021– ),TP,60.0,7.1,NaN,9760.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
150,Lady Jane,(1986),,136.0,7.1,64.0,6759.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
151,Las amistades peligrosas,(2022– ),18,58.0,5.3,NaN,220.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
152,Las hermanas Bolena,(2008),A,115.0,6.7,50.0,113956.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
153,Last Week Tonight with John Oliver,(2014– ),18,30.0,8.9,NaN,89181.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
154,Lincoln,(2012),7,150.0,7.3,86.0,261332.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
155,Lo imposible,(2012),12,114.0,7.5,73.0,224786.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
156,Los Borgia,(2011–2013),16,50.0,7.9,NaN,51543.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
157,Los Bridgerton,(2020– ),16,60.0,7.4,NaN,135889.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
158,Los Miserables,(2018–2019),,372.0,7.8,NaN,8289.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
159,Los Médici: Señores de Florencia,(2016–2019),18,60.0,7.9,NaN,19531.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
160,Los Tudor,(2007–2010),18,60.0,8.1,NaN,75430.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
161,Los apocalipsis del pasado,(2022– ),7,30.0,8.0,NaN,2082.0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
162,Los archivos del Pentágono,(2017),7,116.0,7.2,83.0,151767.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
163,Los diez mandamientos,(1956),A,220.0,7.9,NaN,71483.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
164,Los misteriosos asesinatos de Miss Fisher,(2012–2015),7,60.0,8.3,NaN,16275.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
165,Los pilares de la Tierra,(2010),,60.0,8.0,NaN,31404.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
166,Los tres mosqueteros,(2011),7,110.0,5.7,35.0,108479.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
