,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SCI-FI,SPORT,T,THRILLER,W,WAR,WESTERN
152,Los hombres libres de Jones,(2016),16,139.0,6.9,53.0,58498.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Los odiosos ocho,(2015),18,168.0,7.8,68.0,596249.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
154,Los profesionales,(1966),PG-13,117.0,7.3,75.0,16794.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
155,Los que no perdonan,(1960),,125.0,6.6,NaN,8710.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
156,Los renegados del diablo,(2005),18,107.0,6.7,53.0,101167.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
157,Los siete magníficos,(1960),TP,128.0,7.7,74.0,95438.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,Los siete magníficos,(2016),12,132.0,6.8,54.0,212508.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
159,Matar a un hombre,(1956),,76.0,6.3,NaN,644.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
160,Maverick,(1957–1962),,60.0,8.1,NaN,3246.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
161,Maverick,(1994),T,127.0,7.0,62.0,112588.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Mi nombre es Ninguno,(1973),13,116.0,7.3,68.0,27359.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,Mil maneras de morder el polvo,(2014),16,116.0,6.1,44.0,189673.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,Mountain Men,(2012– ),,42.0,7.3,NaN,1585.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
165,Murder at Yellowstone City,(2022),,127.0,5.1,45.0,1213.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,Más dura será la caída,(2021),16,139.0,6.6,68.0,62535.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
167,National Treasure 3,(2024),,NaN,NaN,NaN,NaN,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Nevada Smith,(1966),18,128.0,6.9,NaN,8477.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
169,Noticias del gran mundo,(2020),12,118.0,6.8,73.0,86984.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Océanos de fuego (Hidalgo),(2004),A,136.0,6.7,54.0,82648.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,Ojos de fuego,(1983),,90.0,6.3,NaN,1654.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
172,Oklahoma,(1955),,145.0,7.0,74.0,13021.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
173,Old Henry,(2021),,99.0,7.2,69.0,25686.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
174,Open Range,(2003),13,139.0,7.4,67.0,73654.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
175,Oye amigo,(1989–1991),,30.0,7.2,NaN,3185.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Paloma Solitaria,(1989),,384.0,8.7,NaN,23377.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,Pequeño gran hombre,(1970),PG-13,139.0,7.6,63.0,35715.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
178,Pistolas en la frontera,(1963),,88.0,5.8,NaN,542.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,Pistoleros,(1947),,87.0,6.3,NaN,796.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,Por un puñado de dólares,(1964),18,99.0,7.9,65.0,217765.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,Pure Country,(1992),PG,112.0,7.1,NaN,4864.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
182,"Randall, el justiciero",(1958–1961),,30.0,8.0,NaN,2441.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
183,Rango,(2011),A,107.0,7.2,75.0,266011.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Ravenous,(1999),18,101.0,6.9,46.0,40284.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
185,Raíces profundas,(1953),A,118.0,7.6,80.0,41149.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,Red Dead Redemption,(2010 Video Game),18,NaN,9.5,NaN,26983.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Red Dead Redemption II,(2018 Video Game),,NaN,9.7,NaN,37470.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Red Headed Stranger,(1986),,105.0,6.4,NaN,711.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
189,Regreso al futuro. Parte III,(1990),A,118.0,7.4,55.0,446060.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
190,Rust,(VI),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,Rápida y mortal,(1995),18,108.0,6.5,49.0,95032.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
192,Río Bravo,(1959),13,141.0,8.0,93.0,63004.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
193,Río Lobo,(1970),A,114.0,6.7,55.0,12594.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
194,Río Rojo,(1948),A,133.0,7.8,NaN,31586.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,Río rojo,(1988 TV Movie),,96.0,6.1,NaN,354.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196,Río sin retorno,(1954),13,91.0,6.6,NaN,11911.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
197,Shanghai Kid: Del Este al Oeste,(2000),A,110.0,6.6,77.0,128186.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
198,Siete novias para siete hermanos,(1954),,102.0,7.3,75.0,25281.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
199,Sillas de montar calientes,(1974),,93.0,7.7,73.0,140152.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
200,Silverado,(1985),A,133.0,7.2,64.0,44964.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Sin perdón,(1992),18,130.0,8.2,85.0,411556.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
202,Slow West,(2015),12,84.0,6.9,72.0,45921.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Solo ante el peligro,(1952),13,85.0,8.0,89.0,104770.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
204,Spirit: El corcel indomable,(2002),A,86.0,7.1,52.0,76678.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
205,Spirit: Indomable,(2021),7/i,88.0,5.5,49.0,3783.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Stage to Chino,(1940),,59.0,6.2,NaN,124.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
207,También un sheriff necesita ayuda,(1969),A,92.0,7.5,56.0,11624.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
208,Temblores 2: La respuesta,(1996 Video),PG-13,100.0,5.9,NaN,30793.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
209,Temblores 4: Comienza la leyenda,(2004 Video),PG-13,101.0,5.3,NaN,13237.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Terror on the Prairie,(2022),,107.0,5.5,NaN,5540.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
211,Texas Rising,(2015),,60.0,6.7,NaN,4228.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
212,That Dirty Black Bag,(2022– ),,50.0,7.1,NaN,2651.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
213,The English,(2022– ),,NaN,8.2,NaN,18.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
214,The Hero,(I) (2017),R,96.0,6.5,61.0,9831.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
215,The Last Manhunt,,R,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
216,The Legend of Molly Johnson,(2021),,109.0,6.1,60.0,808.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
217,The Life and Legend of Wyatt Earp,(1955–1961),,30.0,7.6,NaN,973.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
218,The Old Way,(2022),R,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
219,The Ranch,(2016–2020),7,30.0,7.5,NaN,39108.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
220,The Rider,(2017),12,104.0,7.4,92.0,19080.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
221,The Ridiculous 6,(2015),13,119.0,4.8,18.0,49818.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,The Salvation,(2014),12,92.0,6.7,64.0,39901.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
223,The Son,(2017–2019),16,44.0,7.5,NaN,6533.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
224,Tierra de violencia,(2019),16,100.0,6.0,65.0,4080.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
225,Tin Man,(2007),,270.0,7.0,NaN,13932.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
226,Tombstone: La leyenda de Wyatt Earp,(1993),18,130.0,7.8,50.0,149607.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
227,Traición sin límites,(1987),13,105.0,6.6,51.0,7720.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Tres amigos,(1986),A,104.0,6.5,52.0,76128.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
229,Trío de ases,(1983 TV Movie),,195.0,6.3,NaN,344.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230,Un hombre,(1967),,111.0,7.4,80.0,12808.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
231,Un horizonte muy lejano,(1992),13,140.0,6.6,49.0,64468.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
232,Un vaquero sin rumbo,(1990),,119.0,6.9,51.0,22579.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
233,Valle de pasiones,(1965–1969),,60.0,7.6,NaN,3072.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
234,Valor de ley,(1969),T,128.0,7.4,83.0,47898.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
235,Valor de ley,(2010),7,110.0,7.6,80.0,339439.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
236,Vidas rebeldes,(1961),,125.0,7.2,77.0,21176.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
237,Walker,(2021– ),,42.0,6.1,NaN,12039.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
238,"Walker, Texas Ranger",(1993–2001),,43.0,5.5,NaN,17146.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Walker: Independence,(2022– ),Not Rated,42.0,6.9,NaN,1266.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
240,Wild Wild West,(1999),T,106.0,4.9,38.0,161665.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
241,Winchester 73,(1950),,92.0,7.6,NaN,20123.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
242,Wind River,(2017),18,107.0,7.7,73.0,251320.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
243,Wyatt Earp,(1994),18,191.0,6.7,47.0,51590.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
244,Wynonna Earp,(2016–2021),16,43.0,7.3,NaN,22997.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Yellowstone,(2018– ),16,60.0,8.7,NaN,130929.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
246,"Yellowstone Spinoff, 6666",,,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
247,Young Guns 3: Alias Billy the Kid,(2022),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
248,Zafarrancho en el rancho,(2004),PG,76.0,5.3,50.0,23513.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
249,"¡Agáchate, maldito!",(1971),18,157.0,7.6,77.0,34979.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
