,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,HISTORY,HORROR,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SPORT,THRILLER,W,WAR
39,El niño con el pijama de rayas,(2008),7,94.0,7.7,55.0,219702.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
40,El paciente inglés,(1996),13,162.0,7.4,87.0,191069.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
41,El patriota,(2000),13,165.0,7.2,63.0,276142.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
42,El pelotón chiflado,(1981),13,106.0,6.8,68.0,74693.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
43,El pianista,(2002),13,150.0,8.5,85.0,827608.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
44,El puente de los espías,(2015),12,142.0,7.6,81.0,311730.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
45,El puente sobre el río Kwai,(1957),A,161.0,8.2,87.0,221219.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
46,El reino de los cielos,(2005),13,144.0,7.2,63.0,289711.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
47,El rey Arturo,(2004),13,126.0,6.3,46.0,169059.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,El rey proscrito,(2018),16,121.0,6.9,59.0,72795.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,El robo a Mussolini,(2022),16,90.0,5.5,NaN,1277.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,El sargento York,(1941),T,134.0,7.7,NaN,18604.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
51,El sargento de hierro,(1986),13,130.0,6.8,53.0,44540.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
52,El submarino (Das Boot),(1981),13,149.0,8.4,86.0,251323.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
53,El último mohicano,(1992),13,112.0,7.7,76.0,171285.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
54,El único superviviente,(2013),16,121.0,7.5,60.0,288628.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,Ellos no envejecerán,(II) (2018),R,99.0,8.2,91.0,35092.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
56,En tierra hostil,(2008),13,131.0,7.5,95.0,452306.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
57,Enemigo a las puertas,(2001),13,131.0,7.6,53.0,263431.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
58,Enigma,(2001),7,119.0,6.4,64.0,21246.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
59,Espartaco,(1960),13,197.0,7.9,87.0,135603.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
60,Expend4bles,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
61,Expiación. Más allá de la pasión,(2007),13,123.0,7.8,85.0,279085.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
62,Fallout,(2023– ),,NaN,NaN,NaN,NaN,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,Foyle's War,(2002–2015),,90.0,8.6,NaN,15738.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
