,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,MUSICAL,MYSTERY,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,THRILLER,WESTERN
0,1899,(2022– ),,60.0,9.2,NaN,2363.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,28 días después,(2002),18,113.0,7.5,73.0,415543.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2,28 días paranormales,(2022– ),,30.0,3.4,NaN,1884.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
3,28 semanas después,(2007),18,100.0,6.9,78.0,277877.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4,A serbian film,(2010),(Banned),104.0,5.0,NaN,65125.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
5,Abbott y Costello contra los fantasmas,(1948),,83.0,7.3,NaN,18007.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6,Abierto hasta el amanecer,(1996),18,108.0,7.2,48.0,315837.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
7,"Alien, el octavo pasajero",(1979),16,117.0,8.5,89.0,878617.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
8,Alien: Covenant,(2017),16,122.0,6.4,65.0,282350.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
9,Amanecer de los muertos,(2004),18,101.0,7.3,59.0,256731.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10,American Horror Stories,(2021– ),18,45.0,6.2,NaN,21762.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
11,American Horror Story,(2011– ),18,60.0,8.0,NaN,318187.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
12,American Psycho,(2000),18,102.0,7.6,64.0,612740.0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
13,Aniquilación,(I) (2018),16,115.0,6.8,79.0,326473.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14,Ataque a los titanes,(2013–2023),16,24.0,9.0,NaN,369483.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Babadook,(2014),16,94.0,6.8,86.0,225866.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
16,Barbarian,(2022),R,102.0,7.1,78.0,78539.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
17,Bates Motel,(2013–2017),16,45.0,8.1,NaN,108473.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
18,Beetlejuice 2,,,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
19,Black Phone,(2021),16,103.0,6.9,65.0,132209.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
20,Blade,(1998),18,120.0,7.1,47.0,276031.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
21,Bodies Bodies Bodies,(2022),R,94.0,6.3,69.0,28340.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
22,Bone Tomahawk,(2015),18,132.0,7.1,72.0,102860.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
23,"Buenas noches, mamá",(2022),R,92.0,5.6,45.0,8715.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
24,Carrie,(1976),18,98.0,7.4,85.0,189248.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
25,Casa Búho,(2020–2023),TP,22.0,8.4,NaN,12055.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,Castlevania,(2017–2021),18,23.0,8.3,NaN,65807.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,Cerdita,(2022),16,99.0,6.2,78.0,3309.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
28,Chainsaw Man,(2022– ),,NaN,8.8,NaN,10974.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Chucky,(2021– ),18,42.0,7.3,NaN,20332.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
30,Constantine,(2005),18,121.0,7.0,50.0,347965.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
31,Constantine 2,,,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
32,Crudo,(2016),18,99.0,7.0,81.0,78701.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
33,Crímenes del futuro,(2022),18,107.0,5.9,67.0,26204.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
34,Crónicas vampíricas,(2009–2017),16,43.0,7.7,NaN,321308.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
35,Cursed Friends,(2022 TV Movie),,87.0,4.9,NaN,569.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
36,Deadstream,(2022),,87.0,6.6,67.0,6747.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
37,Depredador,(1987),18,107.0,7.8,47.0,423736.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
38,Destino final,(2000),13,98.0,6.7,36.0,257454.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
39,Doctor Strange en el multiverso de la locura,(2022),12,126.0,6.9,60.0,403696.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Doctor Sueño,(2019),16,152.0,7.3,59.0,193425.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
41,Don't Hug Me I'm Scared,(2022– ),,23.0,8.8,NaN,2616.0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
42,Drácula,(2020),14,270.0,6.8,NaN,48434.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
43,Drácula de Bram Stoker,(1992),18,128.0,7.4,57.0,219236.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
44,Drácula: La leyenda jamás contada,(2014),16,92.0,6.2,40.0,196696.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
45,Déjame entrar,(2008),13,114.0,7.9,82.0,218350.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
46,Déjame entrar,(I) (2010),16,116.0,7.1,79.0,122574.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
47,Déjame salir,(I) (2017),16,104.0,7.7,85.0,604753.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
48,Ejército de los muertos,(2021),18,148.0,5.7,57.0,172657.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
49,El Espíritu de Bridge Hollow,(2022),12,89.0,5.6,38.0,8206.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,El abismo del infierno,(2022),16,91.0,5.7,NaN,3170.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
51,El club de la medianoche,(2022– ),16,60.0,6.6,NaN,20358.0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
52,El cuervo,(1994),18,102.0,7.5,71.0,185647.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,El diablo en Ohio,(2022),16,356.0,5.9,NaN,13977.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
54,El exorcista,(1973),13,122.0,8.1,81.0,407965.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
55,El faro,(I) (2019),16,109.0,7.4,83.0,216548.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
56,El gabinete de curiosidades de Guillermo del Toro,(2022– ),18,60.0,7.2,NaN,26086.0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
57,El hijo,(2019),16,90.0,6.1,44.0,98705.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
58,El hombre invisible,(I) (2020),16,124.0,7.1,72.0,228335.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
59,El hoyo,(2019),18,94.0,7.0,73.0,224215.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
60,El juego de Gerald,(2017),16,103.0,6.5,77.0,111141.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
61,El menú,(2022),7,106.0,7.5,70.0,1299.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
62,El reino,(1994–2022),,561.0,8.3,NaN,18628.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
63,El resplandor,(1980),16,146.0,8.4,66.0,1016992.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
64,El retorno de las brujas,(1993),7,96.0,6.9,43.0,142826.0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65,El sacrificio de un ciervo sagrado,(2017),16,121.0,7.0,73.0,155270.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
