,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,MUSICAL,MYSTERY,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,THRILLER,WESTERN
105,Jeepers Creepers: Reborn,(2022),R,88.0,2.5,NaN,7151.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
106,Jennifer's Body,(2009),13,102.0,5.4,47.0,136357.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
107,JoJo's Bizarre Adventure,(2012– ),16,30.0,8.4,NaN,23823.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,Jóvenes ocultos,(1987),13,97.0,7.2,63.0,145462.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
109,Jóvenes y brujas,(1996),13,101.0,6.4,55.0,95706.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
110,Km. 666,(I) (2003),18,84.0,6.1,32.0,121339.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
111,La bestia,(I) (2022),12,93.0,5.6,54.0,22478.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
112,La bruja,(2015),16,92.0,6.9,83.0,262688.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
113,La cabaña en el bosque,(2011),16,95.0,7.0,72.0,418961.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
114,La casa oscura,(2020),16,107.0,6.5,68.0,53511.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
115,La caza,(II) (2020),16,90.0,6.5,50.0,115020.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
116,La cosa (El enigma de otro mundo),(1982),13,109.0,8.2,57.0,424771.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
117,La dimensión desconocida,(1959–1964),13,51.0,9.1,NaN,83671.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
118,La familia Addams,(1964–1966),A,30.0,8.0,NaN,18120.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
119,La familia Addams,(2019),7,86.0,5.8,46.0,39965.0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,La huérfana,(2009),18,123.0,7.0,42.0,231271.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
121,La huérfana: primer asesinato,(2022),16,99.0,5.9,54.0,29464.0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
122,La invitación,(II) (2022),12,105.0,5.2,45.0,13469.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
123,La maldición de Bly Manor,(2020),16,494.0,7.3,NaN,105585.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
124,La maldición de Hill House,(2018),16,572.0,8.6,NaN,243858.0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
125,La maldición del hombre lobo,(2022 TV Movie),,52.0,7.2,NaN,48286.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126,La matanza de Texas,(1974),18,83.0,7.4,78.0,164260.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
127,La matanza de Texas,(2022),18,83.0,4.7,34.0,52987.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
128,La momia,(2017),12,111.0,5.4,34.0,191047.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
129,La monja,(2018),16,96.0,5.3,46.0,141917.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
130,La niebla,(2007),18,126.0,7.1,58.0,312449.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
131,La noche de Halloween,(1978),18,91.0,7.7,87.0,281642.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
132,La noche de Halloween,(I) (2018),16,106.0,6.5,67.0,155959.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
133,La semilla del diablo,(1968),18,137.0,8.0,96.0,217916.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
134,La tienda de los horrores,(1986),A,94.0,7.1,81.0,77926.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
135,La víspera de Halloween,(2013),,83.0,5.1,NaN,8638.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
136,Lamb,(2021),16,106.0,6.3,68.0,28387.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
137,Las brujas de Roald Dahl,(2020),7,106.0,5.3,47.0,41610.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
138,Las escalofriantes aventuras de Sabrina,(2018–2020),16,60.0,7.4,NaN,95211.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
139,Las ruinas,(2008),18,90.0,5.9,44.0,76159.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
140,Legacies,(2018–2022),16,45.0,7.3,NaN,32015.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
141,Legión,(2010),16,100.0,5.2,32.0,105957.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
142,Let the Right One In,(2022– ),,53.0,7.2,NaN,1619.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
143,Life (Vida),(I) (2017),12,104.0,6.6,54.0,232039.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
144,Little Demon,(2022– ),,26.0,6.7,NaN,2811.0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
145,Lo que hacemos en las sombras,(2014),16,86.0,7.6,76.0,184910.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
146,Lo que hacemos en las sombras,(2019– ),16,30.0,8.6,NaN,77503.0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
147,Locke & Key,(2020–2022),13,48.0,7.3,NaN,86703.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
148,Los ancianos,(2022),16,101.0,5.0,NaN,3707.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
149,Los crímenes de la academia,(2022),R,128.0,NaN,NaN,NaN,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
150,Los nuevos mutantes,(2020),12,94.0,5.3,43.0,79977.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
151,Los originales,(2013–2018),12,45.0,8.3,NaN,136188.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
152,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
153,M3GAN,(2023),PG-13,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
154,Madre!,(2017),16,121.0,6.6,75.0,226855.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
155,Maligno,(I) (2021),18,111.0,6.2,51.0,90518.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
156,Mandrake,(2022),,85.0,4.7,NaN,354.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
157,Mandy,(I) (2018),18,121.0,6.5,81.0,79982.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
158,Martyrs (Mártires),(2008),Not Rated,99.0,7.0,NaN,95718.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
159,Matriarcado,(2022),,85.0,4.4,NaN,1401.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
160,Men,(2022),16,100.0,6.1,65.0,37193.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
161,Midsommar,(2019),18,148.0,7.1,72.0,319457.0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
162,Misa de medianoche,(2021),16,450.0,7.7,NaN,116164.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
163,Mob Psycho 100,(2016– ),Not Rated,24.0,8.6,NaN,31843.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
164,Morbius,(2022),12,104.0,5.2,35.0,119109.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
165,Muñeco diabólico,(1988),13,87.0,6.6,58.0,104553.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
166,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56841.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
167,Múltiple,(IX) (2016),16,117.0,7.3,62.0,496500.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
168,Noche de bodas,(I) (2019),16,95.0,6.8,64.0,151783.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
169,Noche de paz,(2022),R,101.0,NaN,NaN,NaN,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170,Nosferatu,(1922),13,94.0,7.9,NaN,98316.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
171,Nosotros,(II) (2019),16,116.0,6.8,81.0,298205.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
172,Pearl,(2022),R,103.0,7.0,73.0,23670.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
173,Pengabdi Setan 2: Communion,(2022),,119.0,7.1,NaN,1615.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
174,Penny Dreadful,(2014–2016),16,60.0,8.2,NaN,122761.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
175,Pesadilla en Elm Street,(1984),18,91.0,7.4,76.0,241576.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
176,Phone Bhoot,(2022),,136.0,7.2,NaN,7086.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
177,Poltergeist. Fenómenos extraños,(1982),14,114.0,7.3,79.0,165877.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
178,Posesión infernal,(1981),18,85.0,7.4,71.0,211294.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
179,Predator: La presa,(I) (2022),18,99.0,7.2,71.0,182936.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,Prey for the Devil,(2022),PG-13,93.0,5.2,38.0,3798.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
181,Psicosis,(1960),13,109.0,8.5,97.0,669936.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
182,Reginald the Vampire,(2022– ),,60.0,5.4,NaN,614.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
183,Resident Evil: Bienvenidos a Raccoon City,(2021),16,107.0,5.2,44.0,53751.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
184,Ruido de fondo,(I) (2022),R,136.0,6.6,68.0,571.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
185,Run Sweetheart Run,(2020),R,104.0,5.3,51.0,2991.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
186,Sandman,(2022– ),18,45.0,7.7,NaN,136905.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
187,Saw,(2004),18,103.0,7.6,46.0,422694.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
188,Scream,(I) (2022),16,114.0,6.3,60.0,110841.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
189,Scream 2,(1997),18,120.0,6.3,63.0,185299.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
190,Scream 6,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
191,Scream: Vigila quién llama,(1996),18,111.0,7.4,65.0,344051.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
192,Servant,(2019– ),15,30.0,7.5,NaN,35191.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
193,Silent Hill,(2006),18,125.0,6.5,31.0,231771.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
194,Sinister,(I) (2012),16,110.0,6.8,53.0,254549.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
195,Sissy,(I) (2022),,102.0,6.2,67.0,2423.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
196,Sleepy Hollow,(1999),13,105.0,7.3,65.0,362044.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
197,Smile,(V) (2022),16,115.0,6.7,68.0,52315.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
198,Sobrenatural,(2005–2020),12,44.0,8.4,NaN,444143.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
199,Soft & Quiet,(2022),R,91.0,6.0,82.0,722.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
200,Speak No Evil,(2022),,97.0,6.6,78.0,15630.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
201,Splice: Experimento mortal,(2009),16,104.0,5.8,66.0,98084.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
202,Stranger Things,(2016– ),16,51.0,8.7,NaN,1172600.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
203,Suspiria,(I) (2018),18,152.0,6.7,64.0,79057.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
204,Sweeney Todd: El barbero diabólico de la calle Fleet,(2007),13,116.0,7.3,83.0,369901.0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
205,Tales of the Walking Dead,(2022– ),,44.0,6.0,NaN,3585.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
206,Terrifier,(2016),,85.0,5.6,NaN,31356.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
207,Terrifier 2,(2022),18,138.0,6.3,59.0,18164.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
208,The Faculty,(1998),18,104.0,6.5,61.0,124860.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
209,The Farm,(I) (2018),,80.0,3.7,NaN,3283.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
210,The Girl Next Door,(2007),R,91.0,6.5,29.0,26802.0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
211,The Haunting of Margam Castle,(2020),,81.0,2.6,NaN,723.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
212,The Innocents,(2021),16,117.0,7.0,79.0,13997.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
213,The Lair,(2022),,96.0,4.6,NaN,1211.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
214,The Last of Us,(2023– ),,NaN,NaN,NaN,NaN,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
215,The Munsters,(2022),PG,109.0,4.6,57.0,8705.0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
216,The Purge: La noche de las bestias,(I) (2013),16,85.0,5.7,41.0,225271.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
217,The Ring (La señal),(2002),18,115.0,7.1,57.0,351435.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
218,The Rocky Horror Picture Show,(1975),13,100.0,7.4,65.0,153828.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
219,The Stand,(2020–2021),18,510.0,5.6,NaN,26743.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
220,The VelociPastor,(2018),,75.0,5.0,NaN,6444.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
221,The Walking Dead,(2010–2022),18,44.0,8.1,NaN,981816.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
222,The descent,(2005),18,99.0,7.2,71.0,226693.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
223,The human centipede (First sequence),(2009),R,92.0,4.4,33.0,79979.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
224,Them,(2021– ),18,45.0,7.4,NaN,19923.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
225,Tiempo,(2021),16,108.0,5.8,55.0,119586.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
226,Train to Busan,(2016),16,118.0,7.6,73.0,220846.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
227,Tucker & Dale contra el mal,(2010),18,89.0,7.5,65.0,181465.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
228,Turno de día,(2022),16,113.0,6.1,51.0,73012.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
229,Tusk,(I) (2014),16,102.0,5.3,55.0,54989.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
230,Twin Peaks,(2017),16,60.0,8.5,NaN,67915.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
231,Un hombre lobo americano en Londres,(1981),13,97.0,7.5,55.0,109073.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
232,Un lugar tranquilo,(2018),16,90.0,7.5,82.0,526771.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
233,Un lugar tranquilo 2,(2020),12,97.0,7.2,71.0,226423.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
234,Under the skin,(I) (2013),16,108.0,6.3,80.0,144984.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
235,Underwater,(2020),12,95.0,5.8,48.0,83189.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
236,Urban Legend,(2022– ),,42.0,5.4,NaN,185.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
237,V/H/S/99,(2022),,109.0,5.1,58.0,3892.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
238,Viernes 13,(1980),18,95.0,6.4,22.0,141612.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
239,Viernes 13,(2009),18,97.0,5.5,34.0,109140.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
240,Vigilante,(2022– ),16,332.0,6.5,NaN,48127.0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
241,Watcher,(I) (2022),R,91.0,6.3,72.0,22986.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
242,Wendell & Wild,(2022),12,105.0,6.5,69.0,5975.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
243,Winnie-the-Pooh: Blood and Honey,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
