,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,ANIMATION,C,COMEDY,CRIME,DRAMA,F,FAMILY,FANTASY,HORROR,I,MYSTERY,ROMANCE,S,SCI-FI,SHORT,THRILLER
180,Splice: Experimento mortal,(2009),16,104.0,5.8,66.0,98084.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
181,Star Trek,(2009),12,127.0,7.9,82.0,603984.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
182,Star Trek: Discovery,(2017– ),16,60.0,7.0,NaN,123029.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
183,Star Trek: Espacio Profundo Nueve,(1993–1999),13,45.0,8.1,NaN,63463.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
184,Star Trek: La nueva generación,(1987–1994),7,44.0,8.7,NaN,120721.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
185,Star Trek: Lower Decks,(2020– ),16,25.0,7.5,NaN,18332.0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
186,Star Trek: Picard,(2020–2023),18,46.0,7.3,NaN,71468.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
187,Star Trek: Prodigy,(2021– ),,24.0,7.1,NaN,3118.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Star Trek: Strange New Worlds,(2022– ),16,52.0,8.2,NaN,29288.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
189,Star Trek: Voyager,(1995–2001),13,44.0,7.8,NaN,69601.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
190,Star Wars Rebels,(2014–2018),7,22.0,8.0,NaN,44394.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
191,Star Wars. Episodio I: La amenaza fantasma,(1999),A,136.0,6.5,51.0,803788.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
192,Star Wars: El ascenso de Skywalker,(2019),12,141.0,6.5,53.0,449210.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
193,Star Wars: El despertar de la Fuerza,(2015),7,138.0,7.8,80.0,928246.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
194,Star Wars: Las crónicas de Jedi,(2022– ),6+,15.0,8.4,NaN,16193.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
195,Star Wars: Los últimos jedi,(2017),7,152.0,6.9,84.0,629984.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
196,Star Wars: The Clone Wars,(2008–2020),7,23.0,8.4,NaN,96983.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Stargate SG-1,(1997–2007),12,44.0,8.4,NaN,93888.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
198,Stargate: Atlantis,(2004–2009),18,44.0,8.1,NaN,67294.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
199,Stargirl,(2020–2022),12,566.0,7.2,NaN,18136.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,Starship Troopers (Las brigadas del espacio),(1997),18,129.0,7.3,51.0,296952.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
201,Stranger Things,(2016– ),16,51.0,8.7,NaN,1172600.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
202,Super Mario Bros.: La película,(2023),PG,NaN,NaN,NaN,NaN,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Supergirl,(2015–2021),12,43.0,6.2,NaN,124244.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
204,Superman & Lois,(2021– ),12,42.0,7.8,NaN,32508.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
205,Tenet,(2020),12,150.0,7.3,69.0,499140.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
206,Terminator,(1984),18,107.0,8.1,84.0,862325.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
207,Terminator 2: El juicio final,(1991),18,137.0,8.6,75.0,1093814.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
208,The Acolyte,(2023– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
209,The Boys,(2019– ),16,60.0,8.7,NaN,492618.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
210,The Expanse,(2015–2022),13,60.0,8.5,NaN,153366.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
211,The Faculty,(1998),18,104.0,6.5,61.0,124860.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
212,The Flash,(2014–2023),7,43.0,7.6,NaN,345690.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
213,The Flash,(2023),,NaN,NaN,NaN,NaN,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
214,The Hunger Games: The Ballad of Songbirds and Snakes,(2023),,NaN,NaN,NaN,NaN,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
215,The Last Ship,(2014–2018),16,60.0,7.4,NaN,59193.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
216,The Last of Us,(2023– ),,NaN,NaN,NaN,NaN,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
217,The Mandalorian,(2019– ),12,40.0,8.7,NaN,473924.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
218,The Munsters,(2022),PG,109.0,4.6,57.0,8705.0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
219,The Orville,(2017– ),12,44.0,8.0,NaN,87266.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
220,The Peripheral,(2022– ),16,NaN,8.2,NaN,21524.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
221,The Umbrella Academy,(2019–2023),16,60.0,7.9,NaN,247213.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
222,The VelociPastor,(2018),,75.0,5.0,NaN,6444.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
223,Thor: Love and Thunder,(2022),12,118.0,6.3,57.0,308095.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
224,Thor: Ragnarok,(2017),7,130.0,7.9,74.0,747688.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Thunderbolts,(2024),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
226,Titanes,(I) (2018– ),16,45.0,7.6,NaN,100155.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
227,Todo a la vez en todas partes,(2022),12,139.0,8.1,81.0,236687.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
228,Transformers,(2007),7,144.0,7.0,61.0,637744.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
229,Transformers: Rise of the Beasts,(2023),,NaN,NaN,NaN,NaN,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
230,Triangle,(2009),R,99.0,6.9,NaN,117175.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
231,UHF,(1989),A,97.0,6.9,32.0,29182.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
232,Un lugar tranquilo,(2018),16,90.0,7.5,82.0,526771.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
233,Una cuestión de tiempo,(I) (2013),A,123.0,7.8,55.0,350178.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
234,V de Vendetta,(2005),12,132.0,8.2,62.0,1118963.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
235,Vanilla Sky,(2001),13,136.0,6.9,45.0,268533.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
236,Vengadores: Endgame,(2019),7,181.0,8.4,78.0,1117454.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
237,Vengadores: Infinity War,(2018),12,149.0,8.4,68.0,1070122.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
238,Vengadores: La era de Ultrón,(2015),7,141.0,7.3,66.0,860090.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
239,Vesper,(2022),,114.0,6.0,70.0,10771.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
240,Viuda Negra,(2021),12,134.0,6.7,67.0,374979.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
241,Watchmen,(2009),18,162.0,7.6,56.0,552105.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
242,Watchmen,(2019),16,527.0,8.2,NaN,119819.0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
243,Westworld,(2016–2022),18,62.0,8.5,NaN,503357.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
244,Wonder Woman,(2017),12,141.0,7.4,76.0,656585.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
245,X-Men,(2000),7,104.0,7.3,64.0,616003.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
246,X-Men: Apocalipsis,(2016),7,144.0,6.9,52.0,435517.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
247,¡García!,(2022),,60.0,6.0,NaN,290.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
248,¡Nop!,(2022),12,130.0,6.9,77.0,155619.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
249,¡Olvídate de mí!,(2004),13,108.0,8.3,89.0,1003484.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
