,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,M,MYSTERY,ROMANCE,S,SCI-FI,SHORT,T,THRILLER,WAR,Y
161,Outer Banks,(2020– ),13,50.0,7.6,NaN,49596.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Outer Range,(2022– ),18,60.0,7.1,NaN,26723.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
163,Padre Brown,(2013– ),7,52.0,7.8,NaN,12000.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
164,Pequeñas mentirosas,(2010–2017),13,44.0,7.4,NaN,167656.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
165,Pequeños detalles,(2021),12,128.0,6.3,54.0,102754.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
166,Perdida,(2014),16,149.0,8.1,79.0,977723.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
167,Perdidos,(2004–2010),16,44.0,8.3,NaN,552044.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
168,Perry Mason,(1957–1966),,60.0,8.3,NaN,9683.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
169,Person of Interest,(2011–2016),12,43.0,8.5,NaN,176612.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
170,Plan oculto,(2006),13,129.0,7.6,76.0,374009.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
171,Poirot,(1989–2013),7,100.0,8.6,NaN,45882.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
172,Por mandato del cielo,(2022),18,472.0,7.5,NaN,23992.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
173,Por trece razones,(2017–2020),16,60.0,7.5,NaN,291984.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
174,Prisioneros,(2013),16,153.0,8.1,70.0,707163.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
175,Prison Break,(2005–2017),13,44.0,8.3,NaN,533773.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,Psych,(2006–2014),13,44.0,8.4,NaN,97819.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
177,Puñales por la espalda,(2019),12,130.0,7.9,82.0,621218.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
178,Puñales por la espalda: El misterio de Glass Onion,(2022),PG-13,139.0,8.0,81.0,1453.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
179,Quantum Leap,(2022– ),,42.0,5.6,NaN,4979.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
180,Red One,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,Resident Alien,(2021– ),12,44.0,8.1,NaN,40455.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
182,Riverdale,(2017– ),16,45.0,6.6,NaN,145104.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
183,Rizzoli & Isles,(2010–2016),16,NaN,7.6,NaN,34276.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
184,Sandman,(2022– ),18,45.0,7.7,NaN,136905.0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
185,Saw,(2004),18,103.0,7.6,46.0,422694.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
186,Scooby-Doo,(2002),7,89.0,5.2,35.0,114644.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
187,Scream,(I) (2022),16,114.0,6.3,60.0,110841.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
188,Scream 6,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
189,Scream: Vigila quién llama,(1996),18,111.0,7.4,65.0,344051.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
190,Se ha escrito un crimen,(1984–1996),7,50.0,7.1,NaN,24969.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
191,Separación,(2022– ),16,55.0,8.7,NaN,112601.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
192,Seven,(1995),18,127.0,8.6,65.0,1640466.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
193,Sherlock,(2010–2017),13,88.0,9.1,NaN,921202.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
194,Sherlock Holmes,(2009),13,128.0,7.6,57.0,633912.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
195,Sherwood,(II) (2022– ),,59.0,7.4,NaN,5515.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
196,Shetland,(2013– ),12,60.0,8.2,NaN,18896.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
197,Shutter Island,(2010),13,138.0,8.2,63.0,1303836.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
198,Sicario,(2015),16,121.0,7.6,82.0,429333.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
199,Significant Other,(2022),R,84.0,5.7,57.0,4986.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
200,Silent Hill,(2006),18,125.0,6.5,31.0,231771.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
201,Sita Ramam,(2022),,163.0,8.5,NaN,42014.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
202,Smile,(V) (2022),16,115.0,6.7,68.0,52315.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
203,Sobrenatural,(2005–2020),12,44.0,8.4,NaN,444143.0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
204,Soft & Quiet,(2022),R,91.0,6.0,82.0,722.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
205,Solo asesinatos en el edificio,(2021– ),12,30.0,8.1,NaN,100680.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
206,Sombra y hueso,(2021– ),16,60.0,7.6,NaN,84782.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
207,Sospechosos habituales,(1995),18,106.0,8.5,77.0,1081228.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
208,Spy x Family,(2022– ),,24.0,8.6,NaN,22872.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
209,Stranger Things,(2016– ),16,51.0,8.7,NaN,1172600.0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
210,Sucesor designado,(2016–2019),12,60.0,7.5,NaN,91428.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
211,Suspiria,(I) (2018),18,152.0,6.7,64.0,79057.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
212,Taboo,(2017– ),16,59.0,8.3,NaN,138479.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
213,Testigo mudo,(1996– ),16,120.0,7.9,NaN,10112.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
214,The Acolyte,(2023– ),,NaN,NaN,NaN,NaN,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
215,The Americans,(2013–2018),16,44.0,8.4,NaN,99921.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
216,The Blacklist,(2013– ),16,43.0,8.0,NaN,248792.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
217,The Capture,(2019– ),13,60.0,7.9,NaN,17776.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
218,The Equalizer,(2021– ),,43.0,5.3,NaN,13165.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
219,The Expanse,(2015–2022),13,60.0,8.5,NaN,153366.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
220,The Good Place,(2016–2020),13,22.0,8.2,NaN,159628.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
221,The Good Wife,(2009–2016),13,43.0,8.4,NaN,76255.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
222,The Haunting of Margam Castle,(2020),,81.0,2.6,NaN,723.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
223,The Killing,(2011–2014),16,45.0,8.3,NaN,112429.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
224,The Leftovers,(2014–2017),18,60.0,8.3,NaN,98749.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
225,The Pact,(I) (2021– ),,60.0,6.9,NaN,3531.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
226,The Peripheral,(2022– ),16,NaN,8.2,NaN,21524.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
227,The Rookie: Feds,(2022– ),,43.0,4.7,NaN,2303.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
228,The Sinner,(2017–2021),16,45.0,7.9,NaN,124108.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
229,The Staircase,(2022),18,519.0,7.1,NaN,25461.0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,The Witcher,(2019– ),16,60.0,8.2,NaN,489038.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
231,Tiempo,(2021),16,108.0,5.8,55.0,119586.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
232,True Blood,(2008–2014),18,55.0,7.9,NaN,245992.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
233,True Detective,(2014–2019),16,55.0,8.9,NaN,568325.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
234,Twin Peaks,(1990–1991),13,47.0,8.8,NaN,197685.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
235,Una joven prometedora,(2020),16,113.0,7.5,73.0,172247.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
236,Vanilla Sky,(2001),13,136.0,6.9,45.0,268533.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
237,Vengeance,(II) (2022),R,107.0,6.8,65.0,14848.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
238,Vera,(2011– ),12,90.0,8.1,NaN,14919.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
239,Veronica Mars,(2004–2019),7,44.0,8.4,NaN,73649.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
240,Vigilante,(2022– ),16,332.0,6.5,NaN,48127.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
241,Watchmen,(2009),18,162.0,7.6,56.0,552105.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
242,Westworld,(2016–2022),18,62.0,8.5,NaN,503357.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
243,Wind River,(2017),18,107.0,7.7,73.0,252010.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
244,X,(II) (2022),18,105.0,6.6,79.0,85830.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
245,Yellowjackets,(2021– ),16,60.0,7.9,NaN,46296.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
246,Zootrópolis,(2016),A/i,108.0,8.0,78.0,497349.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
247,¡Nop!,(2022),12,130.0,6.9,77.0,155619.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
248,Ámsterdam,(2022),12,134.0,6.1,48.0,20975.0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
249,Última noche en el Soho,(2021),16,116.0,7.1,65.0,135365.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
