,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,M,MYSTERY,ROMANCE,S,SCI-FI,SHORT,T,THRILLER,WAR,Y
32,Criminal Minds: Evolution,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
33,Crónicas vampíricas,(2009–2017),16,43.0,7.7,NaN,321308.0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
34,Cómo defender a un asesino,(2014–2020),16,43.0,8.1,NaN,151755.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
35,Dark,(2017–2020),16,60.0,8.7,NaN,378748.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
36,Deadwind,(2018–2021),16,45.0,7.3,NaN,10322.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37,Death Note,(2006–2007),7,24.0,9.0,NaN,321614.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Decision to Leave,(2022),,139.0,7.3,84.0,15127.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
39,Desaparecida sin rastro (Last seen alive),(2022),18,95.0,5.6,NaN,17544.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
40,Desde dentro,(II) (2022),18,240.0,6.6,NaN,13570.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
41,Dexter,(2006–2013),18,53.0,8.7,NaN,724128.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42,Donnie Darko,(2001),13,113.0,8.0,88.0,800028.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
43,Doom Patrol,(2019– ),16,60.0,7.8,NaN,51982.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,Dualidad,(2022),16,326.0,5.9,NaN,11036.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
45,Déjame salir,(I) (2017),16,104.0,7.7,85.0,604753.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
46,El abogado del Lincoln,(2022– ),16,60.0,7.7,NaN,37363.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
47,El club de la medianoche,(2022– ),16,60.0,6.6,NaN,20358.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
48,El diablo en Ohio,(2022),16,356.0,5.9,NaN,13977.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
49,El faro,(I) (2019),16,109.0,7.4,83.0,216548.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
50,El gabinete de curiosidades de Guillermo del Toro,(2022– ),18,60.0,7.2,NaN,26086.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
51,El juego de la sospecha (Cluedo),(1985),13,94.0,7.2,39.0,97742.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
52,El juego del calamar,(2021– ),16,55.0,8.0,NaN,441215.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
53,El juramento,(I) (2001),13,124.0,6.8,71.0,59613.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,El mentalista,(2008–2015),TP,43.0,8.1,NaN,185240.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
55,El paciente,(2022),,300.0,7.0,NaN,12077.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
