,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FAMILY,FANTASY,HORROR,I,L,M,MUSIC,MUSICAL,ROMANCE,SCI-FI,SHORT,SPORT,WESTERN
142,Los tipos malos,(2022),A/i,100.0,6.8,64.0,35942.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Lost in Space,(2018–2021),7,60.0,7.3,NaN,99565.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
144,Luca,(2021),6+,95.0,7.4,71.0,161232.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
145,Luck,(I) (2022),TP,105.0,6.4,48.0,17059.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
146,Malcolm,(2000–2006),TP,22.0,8.1,NaN,131772.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
147,Maléfica,(2014),7,97.0,6.9,56.0,375782.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
148,Marcel the Shell with Shoes On,(2021),PG,90.0,7.9,81.0,6322.0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
149,Mary Poppins,(1964),A,139.0,7.8,88.0,173077.0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
150,Matilda,(1996),7,98.0,6.9,72.0,152625.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
151,"Matilda de Roald Dahl, el musical",(2022),PG,117.0,6.0,67.0,207.0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
152,Megamind,(2010),A/i,95.0,7.3,63.0,262198.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,59600.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Monster House,(2006),7,91.0,6.6,68.0,121349.0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
155,Monstruos University,(2013),A,104.0,7.2,65.0,359652.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
156,"Monstruos, S.A.",(2001),A,92.0,8.1,79.0,904240.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Ms. Marvel,(2022),7,271.0,6.2,NaN,100283.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Mundo extraño,(2022),PG,NaN,NaN,NaN,NaN,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56366.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
160,Noche en el museo,(2006),A,108.0,6.4,48.0,348037.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
161,Oni: La leyenda del dios del trueno,(2022),7,167.0,8.3,NaN,452.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Padres forzosos,(1987–1995),7,22.0,6.7,NaN,59112.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
163,Percy Jackson y el ladrón del rayo,(2010),7,118.0,5.8,47.0,189741.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
164,Pesadilla antes de Navidad,(1993),7,76.0,7.9,82.0,337243.0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
