,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SHORT,TALK-SHOW,THRILLER,U
34,Bruce Mercury and the Band of Pirates: XXX Lust,(2020 Video),,NaN,6.3,NaN,603.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
35,Bubble Guppies,(2011–2022),,24.0,6.4,NaN,1628.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,Burlesque,(I) (2010),A,119.0,6.4,47.0,86726.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
37,CODA. Los sonidos del silencio,(2021),12,111.0,8.0,72.0,130468.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
38,Cabaret,(1972),,124.0,7.8,80.0,55613.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
39,Cabezas huecas,(1994),18,92.0,6.1,46.0,52244.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
40,Calles de fuego,(1984),18,93.0,6.7,59.0,21880.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,Camp Rock,(2008 TV Movie),,94.0,5.1,NaN,34282.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,Casi famosos,(2000),7,122.0,7.9,90.0,276967.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,Cegados por el sol,(2015),16,125.0,6.4,74.0,30597.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
44,Cena en América,(2020),,106.0,7.3,80.0,3606.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
45,Cero en conducta,(1999),13,95.0,6.8,33.0,39662.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,Chappelle's Show,(2003–2006),,22.0,8.8,NaN,64935.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,Christmas Tree Lane,(2020 TV Movie),,84.0,6.5,NaN,1119.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,Christmas at Graceland: Home for the Holidays,(2019 TV Movie),,84.0,6.3,NaN,1010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
49,Climax,(I) (2018),18,97.0,6.9,67.0,69182.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
50,Coco,(I) (2017),A,105.0,8.4,81.0,503416.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,Cold War,(2018),12,89.0,7.5,90.0,57467.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
