,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,H,HORROR,MUSIC,MUSICAL,MYSTERY,NEWS,O,R,ROMANCE,S,SCI-FI,SHORT,SPORT,T,TALK-SHOW,THRILLER,WESTERN
32,Bruce Mercury and the Band of Pirates: XXX Lust,(2020 Video),,NaN,6.3,NaN,603.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
33,Bubble Guppies,(2011–2022),,24.0,6.4,NaN,1628.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,Bulgari: Unexpected Wonders,(2022 Video),,2.0,7.8,NaN,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
35,By the Lake,(2013 Video),,NaN,7.8,NaN,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
36,Cadillac: ScissorHandsFree,(2021 Video),,1.0,8.2,NaN,641.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
37,Camp Belvidere,(2014),,38.0,6.4,NaN,989.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
38,Campamento mágico,(2018– ),TP,NaN,7.7,NaN,1575.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
39,Cashback,(2004),,18.0,7.6,NaN,10864.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40,Centauria,(2021),7,25.0,7.6,NaN,2215.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
41,Cerdita,(2018),16,14.0,6.7,NaN,791.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,Charmsukh,(2019– ),,18.0,7.3,NaN,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
43,Chowder,(2007–2010),A,11.0,7.4,NaN,14160.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
