,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,H,HORROR,MUSIC,MUSICAL,MYSTERY,NEWS,O,R,ROMANCE,S,SCI-FI,SHORT,SPORT,T,TALK-SHOW,THRILLER,WESTERN
139,Nimic,(2019),,12.0,6.6,NaN,5892.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
140,Nude Gardening Day,(2013 Video),,NaN,6.6,NaN,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
141,Nudisten,(2010),,14.0,5.7,NaN,171.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
142,One Red Nose Day and a Wedding,(2019 TV Short),,12.0,6.6,NaN,720.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
143,Patrulla de aterrizaje,(2009 TV Short),,22.0,7.6,NaN,3414.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
144,Peaky Blinders: The King's Ransom,(2022 Video Game),,30.0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
145,Perdona nuestras ofensas,(I) (2022),16,13.0,6.4,NaN,1654.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
146,Perils in Nude Modeling,(2003),,10.0,6.5,NaN,272.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
147,Phineas y Ferb,(2007–2015),TP,15.0,8.1,NaN,46994.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
148,Pingu,(1980–2006),TP,5.0,7.4,NaN,7236.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
149,Pinky y Cerebro,(1995–1998),,30.0,7.8,NaN,30769.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
150,Pirates of the Caribbean: Tales of the Code: Wedlocked,(2011),,10.0,6.7,NaN,3491.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
151,Pleasure,(2013),,15.0,5.5,NaN,440.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
152,Plug&Play,(2013),,19.0,6.0,NaN,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
153,Possibly in Michigan,(1983),,12.0,7.4,NaN,961.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
154,Prada Paradoxe,(2022),,2.0,7.6,NaN,40.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
155,Princess Rap Battle,(2014– ),,2.0,8.2,NaN,555.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
156,R.I.P.D.: Transferring R.I.P.D.,(2013),,8.0,6.9,NaN,37.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
157,Red Nose Day Actually,(2017 TV Short),,15.0,7.1,NaN,6148.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
158,Reunión familiar,(2019–2022),7,28.0,6.5,NaN,2958.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
159,Rick and Morty: C-132,(2021),,1.0,9.0,NaN,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
160,Roast-Beef and Movies,(1934),,16.0,4.0,NaN,240.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
161,Robot Chicken,(2001– ),18,11.0,7.7,NaN,43591.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
162,Rocket Power,(1999–2004),,30.0,6.8,NaN,9759.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
163,Rugrats,(2021– ),,23.0,4.0,NaN,1279.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
164,Savage X Fenty Show,(2021),16,39.0,7.2,NaN,411.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
165,She Hulk,(2008),,9.0,1.6,NaN,292.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
166,"Si me pasara algo, os quiero",(2020),PG,13.0,7.8,NaN,16997.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
167,Six Shooter,(2004),,27.0,7.4,NaN,12741.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
168,Skin & Bone,(2022),,16.0,6.8,NaN,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
169,Slumberkins,(2022– ),A,21.0,9.4,NaN,30.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
170,Smile,(I) (2022),,NaN,5.8,NaN,6.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
171,Smiling Friends,(2020– ),,12.0,8.5,NaN,9251.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
172,Something's Got to Give,(1962),,37.0,NaN,NaN,NaN,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
173,Sonic Boom,(2014–2017),A,11.0,6.8,NaN,6364.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
174,Sons of Anarchy Season 1: The Bikes,(2009 Video),,7.0,8.3,NaN,5564.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
175,Star Trek: Short Treks,(2018–2020),,10.0,7.0,NaN,2691.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
176,Star Wars: Episode V - The Empire Strikes Back: Deleted Scenes,(2011 Video),,12.0,8.8,NaN,18370.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
177,Star Wars: Las crónicas de Jedi,(2022– ),6+,15.0,8.4,NaN,16193.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
178,Star contra las fuerzas del mal,(2015–2019),TP,22.0,8.0,NaN,15416.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
179,Starfuckers,(2022),,14.0,6.1,NaN,209.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
180,Stargate Origins,(2018),,10.0,3.9,NaN,5545.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
181,Stark Industries,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
182,State of Alabama vs. Brittany Smith,(2022),PG-13,40.0,6.1,NaN,277.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
183,State of the Union,(2019–2022),12,10.0,7.8,NaN,5739.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
184,Stepson,(2021),,NaN,8.8,NaN,25.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
185,Stripped,(I) (2016),,12.0,6.4,NaN,559.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
186,Talk,(2019),,25.0,7.4,NaN,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
187,Tampoon,(2015),,7.0,5.5,NaN,121.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
188,Taylor Swift: Bad Blood,(2015 Music Video),,4.0,7.3,NaN,3861.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
189,Teen Titans Go!,(2013– ),7,10.0,5.4,NaN,21747.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
190,Terrifier,(2011),,20.0,6.7,NaN,1539.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
191,The 9th Circle,(2008),,11.0,5.5,NaN,443.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
192,The Audition,(III) (2015),,16.0,6.6,NaN,3650.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
193,The Bad Guys in Maraschino Ruby,(2022 Video),,4.0,7.5,NaN,58.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
194,The Batman: Deleted Arkham Scene,(2022 Video),,5.0,8.2,NaN,15292.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
195,The Big Shave,(1967),,6.0,7.0,NaN,7267.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
196,The Boys: Diabolical,(2022– ),16,14.0,6.9,NaN,12966.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
197,The Casagrandes,(2019–2022),,22.0,5.7,NaN,1400.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
198,The Chauffeur,(2012),,23.0,7.6,NaN,85.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
199,The Daily Bugle,(2019– ),,1.0,6.4,NaN,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
200,The Guild,(2007–2013),,4.0,8.2,NaN,10152.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
201,The Hidebehind,(2018),,10.0,6.5,NaN,199.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
202,The Hitman's Bodyguard: Dangerous Women,(2017 Video),,9.0,6.8,NaN,14743.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
203,The Hitman's Bodyguard: The Hitman vs. The Bodyguard,(2017 Video),,5.0,6.9,NaN,17462.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
204,The Hobbit: The Battle of Five Armies - New Zealand: Home of Middle-Earth - Part 3,(2015 Video),,7.0,7.5,NaN,23991.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
205,The Legend of Hanuman - II,(2018 Video),,4.0,9.9,NaN,257.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
206,The Looney Tunes Show,(2011–2015),A,23.0,7.5,NaN,15851.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
207,The Nice Guys: Word of the Day,(2017),,1.0,7.6,NaN,8527.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
208,The Nun 2,(2019),,10.0,5.3,NaN,276.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
209,The Originals: Awakening,(2014),,2.0,8.5,NaN,3288.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
210,The Sandman,(2020 Podcast Series),,NaN,9.4,NaN,1464.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
211,The Snowman,(1982 TV Short),,26.0,8.2,NaN,14736.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
212,The Stranger,(II) (2020),,8.0,6.3,NaN,1365.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
213,The Take Over,(2020),,44.0,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
214,The Tell-Tale Heart,(I) (2008),,21.0,6.6,NaN,283.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
215,The Tiny Chef Show,(2022– ),,NaN,6.5,NaN,55.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
216,The Turbo Charged Prelude for 2 Fast 2 Furious,(2003 Video),,6.0,6.0,NaN,4677.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
217,The Walking Dead: Webisodes,(2011–2018),,15.0,7.7,NaN,4901.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
218,The Whale,(2020),,35.0,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
219,The World Over,(2018),,17.0,6.7,NaN,80.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
220,Thomas & Friends: All Engines Go,(2021– ),,30.0,2.2,NaN,634.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
221,Thomas y sus amigos,(1984–2021),,11.0,6.5,NaN,5318.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
222,Threat Level Midnight: The Movie,(2019 TV Short),,25.0,9.6,NaN,8132.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
223,Titanic: Deleted Scenes,(2012 Video),,57.0,8.6,NaN,375.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
224,Tom and Jerry,(1940–1968),,8.0,9.0,NaN,5365.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
225,Tourism Australia: Dundee - The Son of a Legend Returns Home,(2018 Video),,3.0,7.9,NaN,1811.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
226,Transformadores: Chispa de tierra,(2022– ),,23.0,6.4,NaN,137.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
227,Transformers: Prime,(2010–2013),,30.0,7.9,NaN,6876.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
228,Un perro andaluz,(1929),18,16.0,7.7,NaN,50477.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
229,Una Navidad con Mickey,(1983),,26.0,8.0,NaN,12982.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
230,Una casa de locos,(2014– ),7,22.0,7.0,NaN,6732.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
231,Under the Rain,(2019),,32.0,5.5,NaN,121.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
232,Unforgotten: Body in a Suitcase,(2017 Video),,2.0,8.4,NaN,3477.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
233,Unidad de Rescate,(2022– ),,23.0,7.1,NaN,52.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
234,Vampirina,(2017–2021),,25.0,6.5,NaN,880.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
235,Viaje a la Luna,(1902),,13.0,8.2,NaN,50296.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
236,Vikings Season 3: Heavy Is the Head -The Politics of King Ragnar's Rule,(2015 Video),,NaN,9.0,NaN,4948.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
237,Vikings: The Viking Sagas,(2014 Video),,NaN,8.7,NaN,10335.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
238,Vindicators 2,(2022– ),,NaN,7.0,NaN,242.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
239,Vlihi,(2022),,30.0,7.9,NaN,127.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
240,Wake Up,(II) (2020),,11.0,6.1,NaN,362.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
241,Wallace y Gromit: Los pantalones equivocados,(1993),T,29.0,8.3,NaN,54638.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
242,Weird: The Al Yankovic Story,(2010 Video),,3.0,8.4,NaN,532.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
243,Whiplash,(2013),,18.0,7.8,NaN,5400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
244,Wow! Wow! Wubbzy!,(2006–2022),,25.0,6.2,NaN,1368.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
245,"Yes, God, Yes",(2017),,11.0,6.3,NaN,1795.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
246,Yo soy Groot,(2022– ),12,4.0,6.7,NaN,27223.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
247,Zootrópolis+,(2022– ),6+,NaN,6.8,NaN,1444.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
248,judy justicia,(2021– ),,NaN,7.1,NaN,3197.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
249,¡La serie de Cuphead!,(2022– ),0+,12.0,7.4,NaN,7746.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
