,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,O,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR
35,Castle,(2009–2016),7,43.0,8.1,NaN,162722.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,Cazafantasmas: Más allá,(2021),12,124.0,7.1,45.0,180506.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
37,Chainsaw Man,(2022– ),,NaN,8.8,NaN,10974.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Cheers,(1982–1993),7,22.0,7.9,NaN,55311.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Chicas malas,(2004),13,97.0,7.1,66.0,384909.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Chuck,(2007–2012),13,43.0,8.2,NaN,138621.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,Clerks III,(2022),R,100.0,6.4,50.0,7965.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Clueless (Fuera de onda),(1995),A,97.0,6.9,68.0,219436.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,Cobra Kai,(2018– ),13,30.0,8.5,NaN,184581.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Coco,(I) (2017),A,105.0,8.4,81.0,503416.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Colegio Abbott,(2021– ),12,22.0,8.2,NaN,15861.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
46,Colgados en Filadelfia,(2005– ),12,22.0,8.8,NaN,225167.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Community,(2009–2015),13,22.0,8.5,NaN,264472.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,"Confess, Fletch",(2022),R,98.0,6.5,66.0,6641.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,"Crazy, Stupid, Love.",(2011),7,118.0,7.4,68.0,521055.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,Crimen en el paraíso,(2011– ),TP,60.0,7.8,NaN,21338.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,Cómo conocí a vuestra madre,(2005–2014),13,22.0,8.3,NaN,681323.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
52,DC Liga de Supermascotas,(2022),TP,105.0,7.3,56.0,60634.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,Dando la nota,(2012),12,112.0,7.1,66.0,307007.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
54,Dead to Me,(2019–2022),13,30.0,8.0,NaN,78448.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,Deadpool,(2016),18,108.0,8.0,65.0,1032024.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Deadpool 2,(2018),18,119.0,7.7,66.0,579453.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Deadpool 3,(2024),,NaN,NaN,NaN,NaN,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,Derry Girls,(2018–2022),13,30.0,8.5,NaN,41778.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,Desencantada: Vuelve Giselle,(2022),PG,NaN,NaN,NaN,NaN,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Doc Martin,(2004–2022),,46.0,8.4,NaN,16727.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
61,Dog. Un viaje salvaje,(I) (2022),12,101.0,6.5,61.0,33855.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Doom Patrol,(2019– ),16,60.0,7.8,NaN,51982.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Dos chicas sin blanca,(2011–2017),12,22.0,6.6,NaN,98396.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Dos hombres y medio,(2003–2015),12,22.0,7.1,NaN,263668.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
65,El Espíritu de Bridge Hollow,(2022),12,89.0,5.6,38.0,8206.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
