,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,THRILLER,V,WAR,WESTERN
38,Demon Slayer: Kimetsu no Yaiba,(2019– ),Not Rated,24.0,8.7,NaN,101451.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Dentro del laberinto,(1986),A,101.0,7.3,50.0,138325.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
40,Depredador,(1987),18,107.0,7.8,47.0,423736.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
41,Desencantada: Vuelve Giselle,(2022),PG,NaN,NaN,NaN,NaN,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Destino: La saga Winx,(2021–2022),16,NaN,6.8,NaN,47810.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Doce del patíbulo,(1967),18,150.0,7.7,73.0,74217.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
44,Doctor Strange en el multiverso de la locura,(2022),12,126.0,6.9,60.0,403696.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,Doctor Who,(1963–1989),,45.0,8.4,NaN,37640.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
46,Doctor Who,(2005– ),13,45.0,8.6,NaN,224830.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
47,Doom Patrol,(2019– ),16,60.0,7.8,NaN,51982.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Dune,(2021),12,155.0,8.0,74.0,624436.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Dune: Parte Dos,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50,Dungeons & Dragons: Honor Among Thieves,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
51,E.T. El extraterrestre,(1982),A,115.0,7.9,91.0,409520.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
52,El Dragón de Papá,(2022),PG,99.0,6.7,74.0,731.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
