,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FILM-NOIR,HORROR,I,L,M,MYSTERY,ROMANCE,SCI-FI,SPORT,THRILLER
90,Engaño,(1946),18,115,7.0,NaN,3645,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
91,Envuelto en la sombra,(1946),,99,7.1,NaN,4606,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
92,Extraños en un tren,(1951),13,101,7.9,88.0,134534,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
93,Falso culpable,(1956),A,105,7.4,83.0,28936,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
94,Forajidos,(1946),,103,7.7,NaN,21582,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
95,Fuerza bruta (Brute force),(1947),12,98,7.6,80.0,10553,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
96,Furia,(1936),13,92,7.9,NaN,12789,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
97,Gardenia azul,(1953),,85,6.9,NaN,5600,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
98,Gilda,(1946),18,110,7.6,NaN,32659,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
99,Grito de terror,(1951),,79,7.3,NaN,2513,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
100,Historia de un detective,(1944),12,95,7.5,NaN,13754,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
101,Hit and Run,(1957),,87,6.2,NaN,445,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
102,Horas desesperadas,(1955),16,112,7.5,NaN,10139,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
103,I Love Trouble,(1948),,93,6.7,NaN,856,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
