,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FILM-NOIR,HORROR,I,L,M,MYSTERY,ROMANCE,SCI-FI,SPORT,THRILLER
228,The Shadow on the Window,(1957),,76,6.1,NaN,536,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
229,The Sniper,(1952),,88,7.1,NaN,3424,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
230,Tiempo sin piedad,(1957),,85,6.8,NaN,1571,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
231,Todos eran mis hijos,(1948),7,94,7.3,NaN,2125,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
232,Trágica información,(1952),,82,7.4,NaN,2880,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
233,Un asesino inocente,(1950),,69,6.4,NaN,695,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
234,Un beso antes de morir,(1956),,94,6.7,NaN,3976,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
235,Un hombre acusa,(1952),,85,6.9,NaN,1493,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
236,Un rayo de luz,(1950),,106,7.4,NaN,5695,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
237,Un secreto de mujer,(1949),,84,6.0,NaN,1735,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
238,Una mujer en la playa,(1955),,97,6.4,NaN,1306,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
239,Una vida marcada,(1948),,95,7.2,NaN,3087,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
240,Veneno para tus labios,(1951),,90,6.8,NaN,2968,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
241,Viernes 13,(1940),,70,6.3,NaN,2593,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
242,Voces de muerte,(1948),,89,7.3,NaN,11470,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
243,Vorágine,(1950),,98,6.7,NaN,4351,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
244,Yo amé a un asesino,(1951),,77,7.0,NaN,2607,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
245,Yo creo en ti,(1948),,112,7.4,NaN,9201,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
246,¿Quién mató a Vicky?,(1941),,82,7.2,NaN,4923,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
247,¿Ángel o diablo?,(1945),,98,7.0,NaN,5739,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
248,Ángel negro,(1946),,81,6.9,NaN,3256,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
249,Ángeles con caras sucias,(1938),13,97,7.9,NaN,21836,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
