,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR,WESTERN
31,Bárbaros,(2020– ),16,280.0,7.2,NaN,26508.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,CSI: Vegas,(2021– ),12,60.0,7.5,NaN,6409.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,Cadena perpetua,(1994),13,142.0,9.3,81.0,2661743.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,Candy: Asesinato en Texas,(2022),18,257.0,7.2,NaN,15022.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Carnival Row,(2019–2023),16,56.0,7.8,NaN,63342.0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Carros de fuego,(1981),A,125.0,7.1,78.0,61050.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
37,Castle,(2009–2016),7,43.0,8.1,NaN,162722.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Causeway,(2022),16,92.0,6.5,66.0,5518.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Chernobyl,(2019),16,330.0,9.4,NaN,744622.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
40,Chevalier,(2022),PG-13,107.0,7.2,67.0,93.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
41,Chicago Fire,(2012– ),12,43.0,8.0,NaN,57610.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Chicago P.D.,(2014– ),16,43.0,8.1,NaN,38689.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,Cobra Kai,(2018– ),13,30.0,8.5,NaN,184581.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Criminal Minds: Evolution,(2022– ),,NaN,NaN,NaN,NaN,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,Crímenes del futuro,(2022),18,107.0,5.9,67.0,26204.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
46,Crónicas vampíricas,(2009–2017),16,43.0,7.7,NaN,321308.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
