,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FANTASY,H,HISTORY,HORROR,I,L,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
73,El profesional (Léon),(1994),18,110.0,8.5,64.0,1155057.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,El príncipe dragón,(2018– ),7,26.0,8.3,NaN,23503.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,El sastre de la mafia,(2022),16,105.0,7.1,69.0,39601.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
76,El silencio de los corderos,(1991),18,118.0,8.6,85.0,1424126.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
77,El truco final (El prestigio),(2006),18,130.0,8.5,66.0,1325939.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
78,El ángel de la muerte,(2022),18,121.0,6.9,65.0,36746.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,Emily la estafadora,(2022),R,97.0,6.7,75.0,15703.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
80,Encerrado con el diablo,(2022),16,347.0,8.2,NaN,56702.0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Escondidos en Brujas,(2008),18,107.0,7.9,67.0,426427.0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,Estación 19,(2018– ),12,60.0,6.8,NaN,15400.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
83,Expediente Warren: The Conjuring,(2013),16,112.0,7.5,68.0,508540.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
84,Expediente X,(1993–2018),13,45.0,8.6,NaN,225698.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
85,Expend4bles,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
86,Eyes Wide Shut,(1999),18,159.0,7.5,68.0,341803.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
87,FBI,(2018– ),12,60.0,7.0,NaN,18020.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,FBI: Most Wanted,(2020– ),12,45.0,6.9,NaN,8282.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,Fall,(I) (2022),16,107.0,6.4,62.0,41417.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
90,Fargo,(2014– ),18,53.0,8.9,NaN,372704.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
91,Fast X,(2023),,NaN,NaN,NaN,NaN,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
92,Fear the Walking Dead,(2015– ),16,44.0,6.8,NaN,129913.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
93,Fringe (Al límite),(2008–2013),13,46.0,8.4,NaN,241867.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
94,From,(2022– ),,52.0,7.6,NaN,20781.0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
95,Gotham,(2014–2019),16,42.0,7.8,NaN,230577.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,Halloween: El final,(2022),18,111.0,5.0,47.0,49111.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
97,Halo,(2022– ),,60.0,7.1,NaN,59542.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
98,Hellraiser,(2022),R,121.0,6.0,55.0,31702.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
99,Hellraiser: Los que traen el infierno,(1987),18,94.0,6.9,56.0,128489.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
100,Hereditary,(2018),16,127.0,7.3,87.0,314771.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
101,Hermanas hasta la muerte,(2022– ),16,53.0,8.3,NaN,12899.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
102,Hijos de la anarquía,(2008–2014),16,45.0,8.6,NaN,296960.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
103,Homeland,(2011–2020),16,55.0,8.3,NaN,341311.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
104,Héroes rebeldes de SAS,(2022),18,52.0,8.2,NaN,5248.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
105,Infiltrados,(2006),18,151.0,8.5,85.0,1318114.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
106,Jack Ryan,(2018– ),16,60.0,8.0,NaN,120308.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
107,Jaula,(2022),16,106.0,6.0,NaN,3770.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
108,Jeepers Creepers: Reborn,(2022),R,88.0,2.5,NaN,7151.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
109,John Wick (Otro día para matar),(2014),16,101.0,7.4,68.0,628871.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
110,John Wick 4,(2023),,NaN,NaN,NaN,NaN,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
111,John Wick: Capítulo 3 - Parabellum,(2019),16,130.0,7.4,73.0,342434.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
112,John Wick: Pacto de sangre,(2017),18,122.0,7.4,75.0,430734.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
113,Joker,(I) (2019),18,122.0,8.4,59.0,1265478.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
114,Jurassic Park (Parque Jurásico),(1993),13,127.0,8.2,68.0,984346.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
115,Jurassic World: Dominion,(2022),12,147.0,5.7,38.0,148500.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
116,Justified: La ley de Raylan,(2010–2015),16,44.0,8.6,NaN,100828.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,Kantara,(2022),,148.0,9.0,NaN,66754.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,Killers of the Flower Moon,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
119,Kleo,(2022– ),16,44.0,7.4,NaN,7668.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,La bala perdida,(2020),16,92.0,6.3,78.0,10830.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
121,La bala perdida 2,(2022),14,98.0,6.3,NaN,1342.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
122,La bestia,(I) (2022),12,93.0,5.6,54.0,22478.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
123,La bruja,(2015),16,92.0,6.9,83.0,262688.0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
124,La casa de papel,(2017–2021),16,70.0,8.2,NaN,474328.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
125,La chica de la limpieza,(2022– ),,45.0,7.0,NaN,7134.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
126,La chica que lo tenía todo,(2022),16,113.0,6.4,54.0,38194.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
127,La chica salvaje,(2022),12,125.0,7.1,43.0,52328.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
128,La costa de los mosquitos,(2021– ),16,60.0,6.9,NaN,12000.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
129,La invitación,(II) (2022),12,105.0,5.2,45.0,13469.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
130,La lista final,(2022– ),16,55.0,8.0,NaN,86758.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
131,La maldición de Hill House,(2018),16,572.0,8.6,NaN,243858.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
132,La maldición del hombre lobo,(2022 TV Movie),,52.0,7.2,NaN,48286.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,La memoria de un asesino,(2022),16,114.0,5.7,41.0,22171.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
134,La noche de Halloween,(1978),18,91.0,7.7,87.0,281642.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
135,La toma del poder,(I) (2022),16,87.0,5.2,NaN,2483.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
136,La víspera de Halloween,(2013),,83.0,5.1,NaN,8638.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
137,Ley y orden,(1990– ),13,45.0,7.8,NaN,39157.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
138,Ley y orden: Crimen organizado,(2021– ),,42.0,7.7,NaN,7413.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
139,Ley y orden: Unidad de Víctimas Especiales,(1999– ),18,60.0,8.1,NaN,106761.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
140,Locke & Key,(2020–2022),13,48.0,7.3,NaN,86703.0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
141,Los juegos del hambre,(2012),12,142.0,7.2,68.0,916385.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
142,Lou,(I) (2022),16,107.0,6.1,51.0,21794.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
144,Manifest,(2018– ),12,43.0,7.1,NaN,63544.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
145,Masacre (Ven y mira),(1985),18,142.0,8.4,NaN,79910.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
146,Men,(2022),16,100.0,6.1,65.0,37193.0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
147,Mentes criminales,(2005–2020),13,42.0,8.1,NaN,196969.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
148,Midsommar,(2019),18,148.0,7.1,72.0,319457.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
149,Mili,(2022),,127.0,8.1,NaN,5930.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
150,Milla 22,(2018),18,94.0,6.1,38.0,80243.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
151,Mindhunter,(2017–2019),16,60.0,8.6,NaN,287094.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
152,Monica O My Darling,(2022),,129.0,7.7,NaN,5941.0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Morbius,(2022),12,104.0,5.2,35.0,119109.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
154,Mr. Robot,(2015–2019),16,49.0,8.6,NaN,386588.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
155,Nadie,(I) (2021),18,92.0,7.4,64.0,248146.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
156,Narcos,(2015–2017),16,49.0,8.8,NaN,420553.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
157,Navy: Investigación criminal,(2003– ),12,60.0,7.8,NaN,147609.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
158,No es país para viejos,(2007),18,122.0,8.2,92.0,967992.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
159,"No te preocupes, querida",(I) (2022),16,123.0,6.2,48.0,61897.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
160,Noche de paz,(2022),R,101.0,NaN,NaN,NaN,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Nueve perfectos extraños,(2021–2022),13,388.0,7.0,NaN,50533.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
162,Old Boy,(2003),18,120.0,8.4,77.0,577408.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
163,Origen,(2010),12,148.0,8.8,74.0,2334667.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
164,Ozark,(2017–2022),16,60.0,8.5,NaN,313810.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
165,Parásitos,(2019),16,132.0,8.5,96.0,791030.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
166,Pasaba por aquí,(2022),16,110.0,6.1,57.0,22873.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
167,Pequeñas mentirosas,(2010–2017),13,44.0,7.4,NaN,167656.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
168,Pequeños detalles,(2021),12,128.0,6.3,54.0,102754.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
169,Perdidos,(2004–2010),16,44.0,8.3,NaN,552044.0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
