,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,I,M,MUSIC,MUSICAL,ROMANCE,S,SCI-FI,SHORT,U
45,El Grinch,(2018),A/i,85.0,6.3,51.0,70514.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,El Príncipe Guerrero: Warrior Prince,(1993),PG,97.0,9.2,NaN,7646.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,El ataque de los tomates asesinos,(1978),13,83.0,4.6,9.0,13927.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,El fantasma de la ópera de Andrew Lloyd Webber,(2004),PG-13,143.0,7.2,40.0,123676.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
49,El gran showman,(2017),A,105.0,7.5,48.0,280926.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
50,El hobbit,(1977 TV Movie),A,77.0,6.7,NaN,14602.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,El jorobado de Notre Dame,(1996),T,91.0,7.0,74.0,158385.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
52,El libro de la selva,(1967),7,78.0,7.6,65.0,183499.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,El libro de la vida,(2014),7/i,95.0,7.2,67.0,71960.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,El mago,(1978),,134.0,5.4,53.0,15445.0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
55,El mago de Oz,(1939),A,102.0,8.1,92.0,398950.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
56,El oso de la casa azul,(1997–2006),,30.0,6.8,NaN,4100.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
57,El príncipe de Egipto,(1998),A,99.0,7.1,64.0,132959.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
58,El regreso de Mary Poppins,(2018),A/i,130.0,6.7,66.0,88468.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,El retorno del rey,(1980 TV Movie),,98.0,5.6,NaN,4161.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,El rey león,(1994),A,88.0,8.5,88.0,1050747.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
61,El rey león,(2019),A,118.0,6.8,55.0,244745.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
62,El rey león 2: El tesoro de Simba,(1998 Video),A,81.0,6.4,NaN,68557.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,El rey y yo,(1956),,133.0,7.4,72.0,26353.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
64,El tour de los Muppets,(2014),A,107.0,6.4,61.0,34942.0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,El violinista en el tejado,(1971),A,181.0,8.0,67.0,43862.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
66,En un barrio de Nueva York,(2021),7,143.0,7.3,84.0,47069.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
