,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,I,M,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER
20,Blue Bloods,(2010– ),12,43.0,7.7,NaN,40745.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,Boardwalk Empire,(2010–2014),12,55.0,8.6,NaN,189593.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,Bones,(2005–2017),12,40.0,7.8,NaN,159784.0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Bosch,(2014–2021),18,51.0,8.5,NaN,71741.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,Breaking Bad,(2008–2013),16,49.0,9.5,NaN,1862848.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,Broadchurch,(2013–2017),13,48.0,8.4,NaN,113489.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26,Brooklyn Nine-Nine,(2013–2021),13,22.0,8.4,NaN,314376.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,C.S.I.,(2000–2015),13,60.0,7.7,NaN,84237.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
28,CSI: Vegas,(2021– ),12,60.0,7.5,NaN,6409.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29,Candy: Asesinato en Texas,(2022),18,257.0,7.2,NaN,15022.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,Capitán Phillips,(2013),12,134.0,7.8,82.0,460778.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Carnival Row,(2019–2023),16,56.0,7.8,NaN,63342.0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,Caso abierto,(2003–2010),13,44.0,7.6,NaN,27993.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
33,Castle,(2009–2016),7,43.0,8.1,NaN,162722.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,Caza al asesino,(2015),12,115.0,5.8,39.0,41581.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,Chicago P.D.,(2014– ),16,43.0,8.1,NaN,38689.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,Ciudad de Dios,(2002),18,130.0,8.6,79.0,754532.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Colombo,(1971–2003),16,100.0,8.3,NaN,35623.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
38,"Confess, Fletch",(2022),R,98.0,6.5,66.0,6641.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,Crimen en el paraíso,(2011– ),TP,60.0,7.8,NaN,21338.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,Criminal,(2008),R,104.0,7.4,58.0,79604.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
41,Criminal Minds: Evolution,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
42,Cyberpunk: Edgerunners,(2022– ),16,24.0,8.4,NaN,42210.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,Cómo defender a un asesino,(2014–2020),16,43.0,8.1,NaN,151755.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
44,DC Liga de Supermascotas,(2022),TP,105.0,7.3,56.0,60634.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
