,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,B,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,G,HISTORY,HORROR,I,MUSIC,MUSICAL,O,R,ROMANCE,SHORT,SPORT,THRILLER,WAR,WESTERN
37,Cleopatra,(1963),14,192.0,7.0,60.0,33767.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
38,Coach Carter,(2005),13,136.0,7.3,57.0,150413.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
39,Come Reza Ama,(2010),A,133.0,5.8,50.0,98180.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
40,Contacto sangriento,(1988),18,92.0,6.8,29.0,86053.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,Conversaciones con asesinos: Las cintas de Jeffrey Dahmer,(2022),16,180.0,7.3,NaN,5493.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,Criaturas celestiales,(1994),18,99.0,7.3,86.0,64245.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,Cuestión de justicia,(2019),12,137.0,7.6,68.0,68076.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Curiosa,(2019),16,107.0,5.4,NaN,2482.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
45,DAMaN,(2022),,121.0,9.6,NaN,7885.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,Dahmer - Monstruo: La historia de Jeffrey Dahmer,(2022),18,534.0,8.0,NaN,109878.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Dahmer, el carnicero de Milwaukee",(2002),18,101.0,5.6,63.0,11065.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,Dallas Buyers Club,(2013),12,117.0,7.9,78.0,488440.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,Despertares,(1990),A,121.0,7.8,74.0,142459.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Después del huracán,(2022),16,376.0,7.8,NaN,9297.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
