,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,B,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,G,HISTORY,HORROR,I,MUSIC,MUSICAL,O,R,ROMANCE,SHORT,SPORT,THRILLER,WAR,WESTERN
166,Molly's Game,(2017),16,140.0,7.4,71.0,172760.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
167,Moneyball: Rompiendo las reglas,(2011),A,133.0,7.6,87.0,423497.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
168,Monster,(2003),R,109.0,7.3,74.0,152726.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
169,Mr. Wain,(2021),7,111.0,6.8,63.0,14655.0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
170,Máscara,(1985),13,120.0,7.2,73.0,29712.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,Múnich en vísperas de una guerra,(2021),12,130.0,6.8,53.0,30786.0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
172,Napoleon,,,NaN,NaN,NaN,NaN,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,Narcos,(2015–2017),16,49.0,8.8,NaN,420553.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Nuestra bandera significa muerte,(2022– ),16,30.0,7.8,NaN,25763.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,Oppenheimer,(2023),,NaN,NaN,NaN,NaN,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
176,Padre Pio,(II) (2022),,104.0,6.4,NaN,132.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Pam & Tommy,(2022),18,340.0,7.3,NaN,33580.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
178,Papillon,(1973),18,151.0,8.0,58.0,131249.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,Papillon,(I) (2017),Not Rated,133.0,7.2,51.0,76250.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
180,Peleando en familia,(2019),12,108.0,7.1,68.0,81812.0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
181,Pisando fuerte,(1973),18,125.0,6.9,60.0,6124.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
182,Pistol,(2022),18,NaN,7.6,NaN,6773.0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
183,Pride/Orgullo,(I) (2014),7/fig,119.0,7.8,79.0,57806.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Queridísima mamá,(1981),R,129.0,6.6,55.0,16622.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
185,Quiero bailar con alguien,(2022),,NaN,NaN,NaN,NaN,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
186,Resistencia,(2020),16,120.0,6.4,53.0,7352.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
187,Rheingold,(2022),,138.0,7.0,NaN,551.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
188,Richard Jewell,(2019),12,131.0,7.5,68.0,87839.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Rocketman,(I) (2019),16,121.0,7.3,69.0,175456.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
190,Rocketry: The Nambi Effect,(2022),12,157.0,8.8,NaN,49281.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
191,Rush,(I) (2013),12,123.0,8.1,74.0,479534.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,Scam 1992: The Harshad Mehta Story,(2020),16,54.0,9.3,NaN,143940.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,Secretos de Estado,(2019),7,112.0,7.3,63.0,48267.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
194,Selena Gomez: mi mente y yo,(2022),12,95.0,7.6,68.0,3118.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Serpico,(1973),13,113.0,7.7,81.0,124024.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
196,Siempre a tu lado (Hachiko),(2009),A,93.0,8.1,NaN,285116.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Sonrisas y lágrimas,(1965),A,172.0,8.1,63.0,234559.0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
198,Spartacus: Dioses de la arena,(2011),18,331.0,8.5,NaN,138113.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
199,Spartacus: Sangre y arena,(2010–2013),18,55.0,8.5,NaN,242504.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Spencer,(2021),12,117.0,6.6,76.0,67978.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,Spotlight,(I) (2015),12,129.0,8.1,93.0,469321.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
202,Star 80,(1983),,103.0,6.8,63.0,7076.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
203,Steve Jobs,(2015),7,122.0,7.2,82.0,170083.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
204,Straight Outta Compton,(2015),16,147.0,7.8,72.0,202889.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
205,Su majestad Mrs. Brown,(1997),T,101.0,7.2,71.0,14727.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
206,Sully,(2016),7,96.0,7.4,74.0,273330.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Super Pumped: La batalla por Uber,(2022– ),16,60.0,7.3,NaN,5926.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Tarde de perros,(1975),18,125.0,8.0,86.0,257739.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Taurus,(2022),,98.0,4.8,55.0,316.0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
210,The Act,(2019),16,60.0,7.9,NaN,28131.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
211,The Blind Side: Un sueño posible,(2009),13,129.0,7.6,53.0,332773.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
212,The Crowded Room,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
213,The Crown,(2016– ),13,58.0,8.7,NaN,211118.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
214,The Dirt,(2019),18,107.0,7.0,39.0,50151.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
215,The Disaster Artist,(2017),7,104.0,7.3,76.0,154666.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
216,The Dropout: Auge y caída de Elizabeth Holmes,(2022),18,403.0,7.5,NaN,24167.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,The Fighter,(I) (2010),12,116.0,7.8,79.0,368612.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
218,The First Lady,(2022),16,60.0,7.1,NaN,4613.0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
219,The Great,(2020– ),16,45.0,8.2,NaN,42303.0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,The Imitation Game (Descifrando Enigma),(2014),7/fig,114.0,8.0,71.0,767199.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
221,The King,(I) (2019),16,140.0,7.3,62.0,129879.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
222,The Offer,(2022),18,586.0,8.7,NaN,23527.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,The Queen (La reina),(2006),A,103.0,7.3,91.0,112256.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224,The Shrink Next Door,(2021),16,341.0,7.1,NaN,12795.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
225,The Staircase,(2022),18,519.0,7.1,NaN,25461.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,The Swimmers,(2022),PG-13,134.0,7.6,61.0,144.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
227,This England,(2022),,52.0,6.6,NaN,1053.0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
228,Tiempo de victoria: La dinastía de Los Lakers,(2022– ),16,59.0,8.3,NaN,19768.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
229,Till - El crimen que lo cambió todo,(2022),PG-13,130.0,7.6,79.0,1829.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230,Titanes: Hicieron historia,(2000),7,113.0,7.8,48.0,216496.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
231,Tombstone: La leyenda de Wyatt Earp,(1993),18,130.0,7.8,50.0,149942.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
232,Toro salvaje,(1980),13,129.0,8.2,89.0,354092.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
233,Trautmann,(2018),,120.0,7.2,52.0,5388.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
234,Trece vidas,(2022),18,147.0,7.8,66.0,49375.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Un amigo extraordinario,(2019),7,109.0,7.2,80.0,80448.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
236,Una mente maravillosa,(2001),A,135.0,8.2,72.0,929994.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
237,Uno de los nuestros,(1990),18,145.0,8.7,90.0,1153487.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Versailles,(2015–2018),16,52.0,7.9,NaN,16958.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
239,Victoria,(2016–2019),TP,60.0,8.2,NaN,27752.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
240,WeCrashed,(2022),16,427.0,7.3,NaN,14907.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
241,Weird: The Al Yankovic Story,(2010 Video),,3.0,8.4,NaN,532.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
242,Weird: The Al Yankovic Story,(2022),14,108.0,7.1,70.0,14159.0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
243,Wolf Hall,(2015),12,360.0,8.1,NaN,11669.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
244,Wu-Tang: An American Saga,(2019– ),,49.0,8.3,NaN,8280.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Wyatt Earp,(1994),18,191.0,6.7,47.0,51676.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
246,"Yo, Tonya",(2017),16,119.0,7.5,77.0,216371.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
247,"Z, la ciudad perdida",(2016),12,141.0,6.6,78.0,92094.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
248,"tick, tick... Boom!",(2021),A,120.0,7.5,74.0,105348.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
249,¡Viven!,(1993),13,120.0,7.1,56.0,56808.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
