,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,N,ROMANCE,SCI-FI,SHORT,WAR
35,Cars 2,(2011),A/i,106.0,6.2,57.0,191230.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Cars 3,(2017),A,102.0,6.7,59.0,100988.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Casa Búho,(2020–2023),TP,22.0,8.4,NaN,12055.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,Castlevania,(2017–2021),18,23.0,8.3,NaN,65807.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,Central Park,(2020– ),7,25.0,6.8,NaN,3756.0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,Chainsaw Man,(2022– ),,NaN,8.8,NaN,10974.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Chip y Chop: Los guardianes rescatadores,(2022),9+,97.0,7.0,66.0,39627.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,Coco,(I) (2017),A,105.0,8.4,81.0,503416.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Code Geass: Lelouch of the Rebellion,(2006–2008),,24.0,8.7,NaN,68643.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Cowboy Bebop,(1998–1999),16,24.0,8.9,NaN,119542.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,Cuento de Navidad,(2009),7,96.0,6.8,55.0,116017.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,Cyberpunk: Edgerunners,(2022– ),16,24.0,8.4,NaN,42210.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Cómo entrenar a tu dragón,(2010),7/i,98.0,8.1,75.0,737939.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,DC Liga de Supermascotas,(2022),TP,105.0,7.3,56.0,60634.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Daniel Spellbound,(2022– ),,22.0,6.9,NaN,213.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Death Note,(2006–2007),7,24.0,9.0,NaN,321614.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
51,Del revés (Inside Out),(I) (2015),A,95.0,8.2,94.0,710229.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,Demon Slayer: Kimetsu no Yaiba,(2019– ),Not Rated,24.0,8.7,NaN,101451.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Desencantada: Vuelve Giselle,(2022),PG,NaN,NaN,NaN,NaN,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Don't Hug Me I'm Scared,(2022– ),,23.0,8.8,NaN,2616.0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
55,Dragon Age: Absolution,(2022– ),,NaN,NaN,NaN,NaN,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,Dragon Ball,(1986–1989),7,24.0,8.6,NaN,58024.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Dragon Ball Super,(2015–2018),12,24.0,8.3,NaN,30569.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,Dragon Ball Super: Super Hero,(2022),12,100.0,7.2,65.0,8648.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Dragon Ball Z,(1989–1996),7,24.0,8.8,NaN,131056.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,El Dragón de Papá,(2022),PG,99.0,6.7,74.0,731.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,El Grinch,(2018),A/i,85.0,6.3,51.0,70816.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
62,El asombroso mundo de Gumball,(2011–2019),TP,11.0,8.3,NaN,32449.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,El castillo ambulante,(2004),7,119.0,8.2,80.0,394095.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
64,El emperador y sus locuras,(2000),A,78.0,7.4,70.0,205027.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,El gato con botas: El último deseo,(2022),PG,NaN,NaN,NaN,NaN,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,El gigante de hierro,(1999),A,86.0,8.1,85.0,198109.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,El jorobado de Notre Dame,(1996),T,91.0,7.0,74.0,158676.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
68,El libro de la vida,(2014),7/i,95.0,7.2,67.0,72199.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,El monstruo marino,(2022),7,115.0,7.1,74.0,39634.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,El origen de los guardianes,(2012),A/i,97.0,7.2,58.0,176125.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,El planeta del tesoro,(2002),A,95.0,7.2,60.0,119593.0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72,El príncipe de Egipto,(1998),A,99.0,7.1,64.0,133227.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
73,El príncipe dragón,(2018– ),7,26.0,8.3,NaN,23503.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,El rey de la colina,(1997–2010),16,30.0,7.5,NaN,53284.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
75,El rey león,(1994),A,88.0,8.5,88.0,1052532.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,El rey león,(2019),A,118.0,6.8,55.0,245145.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
77,El viaje de Chihiro,(2001),A,125.0,8.6,96.0,758245.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
78,Elemental,(2023),,NaN,NaN,NaN,NaN,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,Encantada: La historia de Giselle,(2007),7,107.0,7.1,75.0,200403.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Encanto,(2021),A/i/fig,102.0,7.2,75.0,218363.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,Enredados,(2010),A/i,100.0,7.7,71.0,453075.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82,Entergalactic,(2022),16,93.0,7.4,NaN,7942.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
83,Fantástico Sr. Fox,(2009),A,87.0,7.9,83.0,232531.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,Ferdinand,(2017),A,108.0,6.7,58.0,57928.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Frozen II,(2019),A,103.0,6.8,64.0,172424.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,Frozen: El reino del hielo,(I) (2013),A,102.0,7.4,75.0,623720.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,Fullmetal Alchemist: Brotherhood,(2009–2010),13,24.0,9.1,NaN,167049.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,Futurama,(1999–2023),16,22.0,8.5,NaN,237902.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Gintama,(2005–2021),18,25.0,8.7,NaN,11659.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Goofy e hijo,(1995),A,78.0,6.9,53.0,55626.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,Gravity Falls,(2012–2016),TP,23.0,8.9,NaN,107929.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,Green Lantern: Cuidado con mi poder,(2022),PG-13,88.0,6.1,NaN,2291.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,Gru 2: Mi villano favorito,(2013),A/i,98.0,7.3,62.0,401298.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Gru: Mi villano favorito,(2010),A/i,95.0,7.6,72.0,547361.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,Haikyu!! Los ases del vóley,(2014–2020),7,24.0,8.7,NaN,25633.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
96,Harley Quinn,(2019– ),16,23.0,8.5,NaN,29858.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,Helluva Boss,(2019– ),,174.0,8.1,NaN,4718.0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,Historias corrientes,(2009–2017),,23.0,8.5,NaN,45512.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,Hora de aventuras,(2010–2018),,11.0,8.6,NaN,95319.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,Hotel Transilvania,(2012),A/i,91.0,7.0,47.0,256864.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,Hotel Transilvania 2,(2015),A,89.0,6.6,44.0,128700.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,Hotel Transilvania 3: Unas vacaciones monstruosas,(2018),A,97.0,6.3,54.0,74902.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Hotel Transilvania 4: Transformanía,(2022),7,87.0,6.0,46.0,30856.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,Hunter x Hunter,(2011–2014),,24.0,9.0,NaN,99264.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105,Hércules,(1997),A,93.0,7.3,74.0,232353.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,Ice Age. La edad de hielo,(2002),A,81.0,7.5,61.0,483127.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107,Invincible,(2021– ),18,50.0,8.7,NaN,135600.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Isla de perros,(2018),A,101.0,7.8,82.0,169191.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,James y el melocotón gigante,(1996),T,79.0,6.7,78.0,68494.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,JoJo's Bizarre Adventure,(2012– ),16,30.0,8.4,NaN,23823.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,Jujutsu Kaisen,(2020– ),Not Rated,24.0,8.6,NaN,60444.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,Jujutsu Kaisen 0,(2021),12,105.0,7.8,71.0,18515.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,(2019– ),,24.0,8.6,NaN,13919.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,Klaus,(2019),A/i,96.0,8.1,65.0,148913.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
115,Kung Fu Panda,(2008),A,92.0,7.6,74.0,469661.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,La LEGO película,(2014),A,100.0,7.7,83.0,355836.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117,La asesina del romance,(2022– ),12,24.0,7.6,NaN,707.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
118,La bella y la bestia,(1991),T,84.0,8.0,95.0,454602.0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
119,La casa,(III) (2022),12,97.0,6.8,NaN,16399.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
120,La casa de muñecas de Gabby,(2021– ),7,24.0,7.2,NaN,464.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
121,La familia Addams,(2019),7,86.0,5.8,46.0,39965.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
122,La fiesta de las salchichas,(2016),16,89.0,6.1,66.0,195450.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123,La joven Liga de la Justicia,(2010–2022),,23.0,8.7,NaN,41608.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124,La leyenda de Korra,(2012–2014),12,23.0,8.4,NaN,121964.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
125,La leyenda de Vox Machina,(2022– ),18,30.0,8.4,NaN,24427.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,La novia cadáver,(2005),7,77.0,7.3,83.0,275027.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
127,La patrulla canina,(2013– ),A,23.0,6.1,NaN,3395.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,La peli del fútbol,(2022),7,73.0,3.1,NaN,402.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,La princesa Mononoke,(1997),7,134.0,8.4,76.0,393659.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130,La remesa mala,(2021– ),6+,NaN,7.8,NaN,34194.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,La sirenita,(1989),A,83.0,7.6,88.0,264013.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,La tumba de las luciérnagas,(1988),13,89.0,8.5,94.0,276533.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
133,Lightyear,(2022),A/i,100.0,6.0,60.0,101009.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,Lilo & Stitch,(2002),A,85.0,7.3,73.0,191848.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,"Lilo, mi amigo el cocodrilo",(2022),A,106.0,6.3,51.0,2595.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Little Demon,(2022– ),,26.0,6.7,NaN,2811.0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
137,Lluvia de albóndigas,(2009),A,90.0,6.9,66.0,234039.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Los Increíbles,(2004),A,115.0,8.0,90.0,734588.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
139,Los Increíbles 2,(2018),A,118.0,7.6,80.0,296727.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140,Los Mitchell contra las máquinas,(2021),7,114.0,7.6,81.0,108271.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
141,Los Simpson,(1989– ),7,22.0,8.7,NaN,406406.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Los minions,(2015),A,91.0,6.4,56.0,239813.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
143,Los mundos de Coraline,(2009),7,100.0,7.7,80.0,230464.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
144,Los tipos malos,(2022),A/i,100.0,6.8,64.0,37549.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,Luca,(2021),6+,95.0,7.4,71.0,161980.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,Luck,(I) (2022),TP,105.0,6.4,48.0,17658.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,Mad God,(2021),,83.0,6.8,80.0,8253.0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
149,Madagascar,(2005),A,86.0,6.9,57.0,404571.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150,Marcel the Shell with Shoes On,(2021),PG,90.0,7.9,81.0,6800.0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
151,Mascotas,(2016),A/i,87.0,6.5,61.0,203155.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
152,Megamind,(2010),A/i,95.0,7.3,63.0,263077.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,Mi vecino Totoro,(1988),A,86.0,8.1,86.0,338554.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
154,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,60990.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Mob Psycho 100,(2016– ),Not Rated,24.0,8.6,NaN,31843.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Monster,(2004–2005),13,24.0,8.7,NaN,31107.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
157,Monster House,(2006),7,91.0,6.6,68.0,121973.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
158,Monstruos University,(2013),A,104.0,7.2,65.0,360315.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
159,"Monstruos, S.A.",(2001),A,92.0,8.1,79.0,905676.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
160,Mulán,(1998),A,88.0,7.6,71.0,288543.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
161,Mundo extraño,(2022),PG,102.0,NaN,NaN,NaN,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,My Hero Academia,(2016– ),12,24.0,8.4,NaN,61992.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56841.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
164,Naruto,(2002–2007),13,24.0,8.4,NaN,101861.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
165,Naruto: Shippûden,(2007–2017),13,24.0,8.7,NaN,125849.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
166,Neon Genesis Evangelion,(1995–1996),TP,24.0,8.5,NaN,70050.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
167,Ninjago,(2019– ),,11.0,8.0,NaN,1218.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Número 9,(I) (2009),13,79.0,7.0,60.0,141026.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,One Piece,(1999– ),13,24.0,8.9,NaN,125021.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,One Piece Film Red,(2022),12,115.0,6.9,69.0,6463.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,One Punch Man,(2015–2019),12,24.0,8.7,NaN,158599.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
172,Padre Made in USA,(2005– ),16,22.0,7.4,NaN,128245.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Padre de familia,(1999– ),18,22.0,8.2,NaN,338569.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Pantheon,(2022– ),,41.0,8.2,NaN,2099.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
175,Peppa Pig,(2004– ),A/i,9.0,6.3,NaN,5294.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Perfect Blue,(1997),18,81.0,8.0,67.0,77223.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
177,Pesadilla antes de Navidad,(1993),7,76.0,7.9,82.0,339188.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
