,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,FILM-NOIR,HISTORY,MUSICAL,MYSTERY,O,P,R,REALITY-TV,ROMANCE,S,SCI-FI,SPORT,T,TALK-SHOW,THRILLER
149,Los locos del Cannonball,(1981),A,95.0,6.2,28.0,36960.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
150,Los picarones,(1976),,102.0,7.3,84.0,23141.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
151,Love & Basketball,(2000),A,124.0,7.2,70.0,22071.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
152,Luces de viernes noche,(2004),PG-13,118.0,7.2,70.0,63812.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
153,Manos de Piedra,(2016),13,111.0,6.6,54.0,16685.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
154,McFarland,(2015),PG,129.0,7.4,60.0,39350.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
155,Me llaman Radio,(2003),A,109.0,6.9,38.0,41466.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
156,Mike,(2022),18,25.0,6.8,NaN,3532.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
157,Mike Bassett: England Manager,(2001),,89.0,6.8,NaN,6502.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
158,Million Dollar Baby,(2004),13,132.0,8.1,86.0,686669.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
159,Molly's Game,(2017),16,140.0,7.4,71.0,172760.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,Moneyball: Rompiendo las reglas,(2011),A,133.0,7.6,87.0,423497.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
161,Nadie puede vencerme,(1949),,73.0,7.8,NaN,9231.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
162,Next Goal Wins,(2023),PG-13,97.0,NaN,NaN,NaN,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
163,Océanos de fuego (Hidalgo),(2004),A,136.0,6.7,54.0,82736.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
164,One Tree Hill,(2003–2012),16,60.0,7.7,NaN,80727.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
165,Papá por sorpresa,(2007),7,110.0,6.1,44.0,67105.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
166,Pasado de vueltas,(2006),18,108.0,6.6,66.0,185983.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
167,Pasión por el triunfo,(1992),T,101.0,6.9,53.0,20844.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
168,Patinazo a la gloria,(2007),7,93.0,6.3,64.0,169922.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
169,Peleando en familia,(2019),12,108.0,7.1,68.0,81812.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170,Pelotas en juego,(2007),PG-13,90.0,5.3,38.0,43017.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
171,Pequeños gigantes,(1994),TP,107.0,6.4,NaN,29096.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
172,Peso pesado,(2012),7,105.0,6.4,40.0,92072.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
173,Pesos pesados,(1995),PG,100.0,6.6,42.0,28417.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174,Pirados por la nieve,(2001),13,92.0,6.2,22.0,17743.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
175,Point Break (Sin límites),(2015),12,114.0,5.3,34.0,63374.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,Promesa sangrienta,(2009),16,93.0,6.7,NaN,33988.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
177,Quiero ser como Beckham,(2002),A,115.0,6.7,66.0,111375.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
178,Red Oaks,(2014–2017),18,30.0,7.9,NaN,11931.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
179,Redención,(2015),12,124.0,7.3,57.0,238012.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180,Regreso a la escuela,(1986),,96.0,6.6,68.0,33198.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
181,Rocky,(1976),18,120.0,8.1,70.0,574518.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
182,Rocky Balboa,(2006),7,102.0,7.1,63.0,217460.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
183,Rocky II,(1979),14,119.0,7.3,61.0,210530.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
184,Rocky III,(1982),14,99.0,6.8,57.0,192050.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
185,Rocky IV,(1985),18,91.0,6.8,40.0,206335.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
186,Rocky V,(1990),18,104.0,5.3,55.0,138322.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
187,"Rollerball, ¿un futuro próximo?",(1975),,125.0,6.6,56.0,25755.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
188,Rompehuesos,(1974),,121.0,7.1,61.0,19586.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
189,Rompiendo las reglas,(2008),18,113.0,6.5,39.0,102258.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
190,Rudy. Reto a la gloria,(1993),T,114.0,7.5,71.0,64328.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
191,"Rumble, la liga de los monstruos",(2021),PG,95.0,5.9,48.0,6717.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,Rush,(I) (2013),12,123.0,8.1,74.0,479534.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
193,"Say Hey, Willie Mays!",(2022),,98.0,7.7,NaN,149.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
194,"Seabiscuit, más allá de la leyenda",(2003),A,140.0,7.3,72.0,73698.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
195,Secretariat,(2010),PG,123.0,7.2,61.0,28879.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
196,Semi-Profesional: Un equipo de pelotas,(2008),R,91.0,5.8,47.0,83176.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
197,Shaolin Soccer,(2001),PG,113.0,7.3,68.0,81359.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
198,Shoresy,(2022),,24.0,8.5,NaN,4310.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
199,Sin aliento,(2022),16,118.0,5.8,NaN,2532.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
200,Somos los mejores,(1992),A,104.0,6.5,46.0,67143.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
201,Somos los mejores: Una nueva era,(2021– ),6+,40.0,7.4,NaN,5067.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
202,Soul Surfer: Alma surfera,(2011),A,112.0,7.0,53.0,50159.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
203,Space Jam,(1996),A,88.0,6.5,59.0,198613.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
204,Space Jam: Nuevas leyendas,(2021),7,115.0,4.5,36.0,71889.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
205,Speed Racer,(2008),7,135.0,6.0,37.0,74368.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
206,Spinning Out,(2020),13,48.0,7.6,NaN,14878.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
207,Spy Kids 4: Todo el tiempo del mundo,(2011),A,89.0,3.5,37.0,25863.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
208,Stick It,(2006),A,103.0,6.3,53.0,29302.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
209,Super Nacho,(2006),PG,92.0,5.8,52.0,88406.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
210,Superación: La historia de la familia Antetokounmpo,(II) (2022),6+,113.0,7.0,74.0,6530.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
211,Supercross,(2005),PG-13,80.0,4.3,26.0,4736.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
212,Swagger,(2021– ),12,60.0,7.1,NaN,1897.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
213,Tales from the Territories,(2022– ),,NaN,8.1,NaN,82.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
214,Ted Lasso,(2020– ),12,30.0,8.8,NaN,210220.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
215,Terminagolf,(1996),A,92.0,7.0,31.0,226792.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
216,The Blind Side: Un sueño posible,(2009),13,129.0,7.6,53.0,332773.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
217,The Fastest Woman on Earth,(2022),,104.0,7.6,NaN,278.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
218,The Fighter,(I) (2010),12,116.0,7.8,79.0,368612.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
219,The Game,(2006–2015),,21.0,6.8,NaN,4526.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
220,The Grand Tour,(2016– ),16,60.0,8.7,NaN,75481.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
221,The Karate Kid,(2010),7,140.0,6.2,61.0,185054.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
222,The Sandlot: Historia de un verano,(1993),A,101.0,7.8,55.0,93115.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
223,The Swimmers,(2022),PG-13,134.0,7.6,61.0,144.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
224,The Way Back,(I) (2020),12,108.0,6.7,66.0,46864.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
225,Tiempo de victoria: La dinastía de Los Lakers,(2022– ),16,59.0,8.3,NaN,19768.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
226,Tin Cup,(1996),T,135.0,6.4,60.0,50885.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
227,Titanes: Hicieron historia,(2000),7,113.0,7.8,48.0,216496.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
228,Toro salvaje,(1980),13,129.0,8.2,89.0,354092.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
229,Trautmann,(2018),,120.0,7.2,52.0,5388.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
230,Tres pequeños Ninjas,(1992),A,84.0,5.3,36.0,21977.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
231,Turbo,(2013),A,96.0,6.4,58.0,98551.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
232,Tío Drew,(2018),PG-13,103.0,5.8,57.0,14648.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
233,Un domingo cualquiera,(1999),13,162.0,6.9,52.0,120630.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
234,Un juego de caballeros,(2020),12,281.0,7.6,NaN,15127.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
235,Un momento en el tiempo - Waves,(I) (2019),16,135.0,7.5,80.0,25988.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
236,Una mala jugada,(1998),R,136.0,6.9,64.0,48606.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
237,Una mujer en la liga,(1989),,107.0,7.2,62.0,70443.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
238,Una oración antes del amanecer,(2017),18,116.0,6.8,76.0,23901.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
239,Una pandilla de altura,(2002),A,99.0,5.3,47.0,21173.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
240,Una pandilla de pelotas,(2005),7,113.0,5.8,65.0,21881.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
241,Vaya par de idiotas,(1996),13,114.0,6.9,43.0,85224.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
242,Vuelven los mejores,(1994),13,106.0,6.1,NaN,40889.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
243,WWE Raw,(1993– ),,60.0,7.7,NaN,9175.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
244,Warrior,(2011),12,140.0,8.2,71.0,472372.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
245,Welcome to Wrexham,(2022– ),,28.0,8.3,NaN,8064.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
246,"Yo, Tonya",(2017),16,119.0,7.5,77.0,216371.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
247,"Yo, el Halcón",(1987),A,93.0,5.8,40.0,55339.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
248,Youngblood (Forja de campeón),(1986),,110.0,6.2,51.0,14948.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
249,Ángeles,(1994),T,102.0,6.2,44.0,32502.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
