,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DOCUMENTARY,DRAMA,F,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
168,Pesadilla antes de Navidad,(1993),7,76.0,7.9,82.0,339188.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
169,Pinocho,(I) (2022),12,105.0,5.1,38.0,31235.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170,Pinocho de Guillermo del Toro,(II) (2022),PG,117.0,7.9,86.0,569.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
171,Piratas del Caribe: La maldición de la Perla Negra,(2003),7,143.0,8.1,63.0,1122992.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
172,Piratas del Caribe: La venganza de Salazar,(2017),12,129.0,6.5,39.0,311927.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
173,Pokémon,(1997– ),A,24.0,7.5,NaN,43376.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
174,Polar Express,(2004),A,100.0,6.6,61.0,208007.0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
175,Ponniyin Selvan: Part One,(2022),,167.0,8.0,NaN,27907.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
176,Prodigiosa: Las aventuras de Ladybug,(2015– ),TP,20.0,7.6,NaN,11660.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,R.I.P.D.: Departamento de policía mortal,(2013),12,96.0,5.6,25.0,134384.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Raised by Wolves,(2020–2022),16,NaN,7.5,NaN,78857.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
179,Ratatouille,(2007),A,111.0,8.1,96.0,732760.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
180,Samaritan,(2022),14,102.0,5.7,45.0,42887.0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
181,Sandman,(2022– ),18,45.0,7.7,NaN,136905.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
182,Scooby-Doo,(2002),7,89.0,5.2,35.0,114644.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
183,Scott Pilgrim contra el mundo,(2010),A,112.0,7.5,69.0,426261.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
184,Shang-Chi y la leyenda de los diez anillos,(2021),12,132.0,7.4,71.0,377512.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
185,Shazam! Fury of the Gods,(2023),,NaN,NaN,NaN,NaN,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Shrek,(2001),A,90.0,7.9,84.0,675285.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Sleepy Hollow,(1999),13,105.0,7.3,65.0,362044.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
188,Sobrenatural,(2005–2020),12,44.0,8.4,NaN,444143.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
189,Sombra y hueso,(2021– ),16,60.0,7.6,NaN,84782.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190,Sonic 2: La película,(2022),7,122.0,6.5,47.0,64784.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
191,Spider-Man: Across the Spider-Verse,(2023),,NaN,NaN,NaN,NaN,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
192,Spider-Man: No Way Home,(2021),7,148.0,8.3,71.0,743655.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
193,Spider-Man: Un nuevo universo,(2018),7,117.0,8.4,87.0,522885.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
194,Star Wars Rebels,(2014–2018),7,22.0,8.0,NaN,44394.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Star Wars. Episodio I: La amenaza fantasma,(1999),A,136.0,6.5,51.0,803788.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,Star Wars: El ascenso de Skywalker,(2019),12,141.0,6.5,53.0,449210.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
197,Star Wars: Las crónicas de Jedi,(2022– ),6+,15.0,8.4,NaN,16193.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
198,Star Wars: Los últimos jedi,(2017),7,152.0,6.9,84.0,629984.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
199,Star Wars: The Clone Wars,(2008–2020),7,23.0,8.4,NaN,96983.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Stardust,(2007),7,127.0,7.6,66.0,273381.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
201,Stargirl,(2020–2022),12,566.0,7.2,NaN,18136.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Stranger Things,(2016– ),16,51.0,8.7,NaN,1172600.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
203,Super Mario Bros.: La película,(2023),PG,NaN,NaN,NaN,NaN,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Suspiria,(I) (2018),18,152.0,6.7,64.0,79057.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
205,Teen Wolf,(2011–2017),16,41.0,7.7,NaN,148454.0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
206,Thank God,(2022),,121.0,6.1,NaN,6799.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
207,The Acolyte,(2023– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
208,The Flash,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
209,The Good Place,(2016–2020),13,22.0,8.2,NaN,159628.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
210,The Leftovers,(2014–2017),18,60.0,8.3,NaN,98749.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
211,The Lovely Bones,(2009),13,135.0,6.6,42.0,170603.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
212,The Mandalorian,(2019– ),12,40.0,8.7,NaN,473924.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
213,The Mummy (La momia),(1999),7,124.0,7.1,48.0,430274.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
214,The Munsters,(2022),PG,109.0,4.6,57.0,8705.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
215,The Nevers,(2021– ),16,58.0,7.4,NaN,23997.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
216,The Umbrella Academy,(2019–2023),16,60.0,7.9,NaN,247213.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,The VelociPastor,(2018),,75.0,5.0,NaN,6444.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
218,The Witcher,(2019– ),16,60.0,8.2,NaN,489038.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
219,The Witcher: Blood Origin,(2022),,NaN,NaN,NaN,NaN,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,The legend of Maula Jatt,(2022),,153.0,8.9,NaN,8362.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
221,Thor,(2011),7,115.0,7.0,57.0,847447.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
222,Thor: Love and Thunder,(2022),12,118.0,6.3,57.0,308095.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
223,Thor: Ragnarok,(2017),7,130.0,7.9,74.0,747688.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
224,Thunderbolts,(2024),,NaN,NaN,NaN,NaN,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Titanes,(I) (2018– ),16,45.0,7.6,NaN,100155.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
226,Todo a la vez en todas partes,(2022),12,139.0,8.1,81.0,236687.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
227,Toy Story,(1995),A,81.0,8.3,95.0,989484.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Tres mil años esperándote,(2022),12,108.0,6.7,60.0,28593.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
229,Triangle,(2009),R,99.0,6.9,NaN,117175.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
230,Troll,(2022),,101.0,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
231,True Blood,(2008–2014),18,55.0,7.9,NaN,245992.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
232,Turno de día,(2022),16,113.0,6.1,51.0,73012.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
233,Una cuestión de tiempo,(I) (2013),A,123.0,7.8,55.0,350178.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
234,Vaiana,(I) (2016),A/i/fig,107.0,7.6,81.0,335225.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Vampire Academy,(2022– ),,NaN,6.3,NaN,5835.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
236,Vanilla Sky,(2001),13,136.0,6.9,45.0,268533.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
237,Wendell & Wild,(2022),12,105.0,6.5,69.0,5975.0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
238,Willow,(1988),A,126.0,7.2,47.0,115584.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
239,Willow,(2022– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
240,Wonder Woman,(2017),12,141.0,7.4,76.0,656585.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
241,Wonka,(2023),,NaN,NaN,NaN,NaN,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
242,Your Name.,(2016),A,106.0,8.4,79.0,266675.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
243,¡Qué bello es vivir!,(1946),A,130.0,8.6,89.0,454118.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
244,¡Shazam!,(2019),7,132.0,7.0,71.0,336512.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
245,¡Vaya Santa Claus!,(1994),T,97.0,6.5,57.0,116920.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
246,¡Vaya familia Claus!,(2022– ),6+,NaN,6.0,NaN,330.0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
247,¿Conoces a Joe Black?,(1998),T,178.0,7.2,43.0,242900.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
248,Ángel,(1999–2004),16,44.0,7.9,NaN,71014.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
249,Érase una vez,(2011–2018),16,60.0,7.7,NaN,224923.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
