,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HORROR,I,M,MUSIC,MYSTERY,N,ROMANCE,SCI-FI,SHORT,WAR
228,Toy Story 2,(1999),A,92.0,7.9,88.0,579389.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Toy Story 3,(2010),A,103.0,8.3,92.0,832280.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,Toy Story 4,(2019),A/i,100.0,7.7,84.0,249506.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
231,Ultrasecretos,(2021– ),16,30.0,7.6,NaN,18259.0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
232,Un héroe samurái: La leyenda de Hank,(2022),A,98.0,5.7,45.0,3956.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
233,Up,(2009),A,96.0,8.3,88.0,1037859.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
234,Vaiana,(I) (2016),A/i/fig,107.0,7.6,81.0,334250.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
235,Velma,(2023– ),,NaN,NaN,NaN,NaN,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
236,Vinland Saga,(2019– ),Not Rated,24.0,8.8,NaN,38172.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
237,WALL·E,(2008),A,98.0,8.4,95.0,1109137.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
238,Wallace & Gromit: La maldición de las verduras,(2005),7,85.0,7.5,87.0,136712.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
239,Wendell & Wild,(2022),12,105.0,6.6,69.0,3436.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Yo soy Groot,(2022– ),12,4.0,6.7,NaN,26560.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
241,Your Name.,(2016),A,106.0,8.4,79.0,265504.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
242,Zootrópolis,(2016),A/i,108.0,8.0,78.0,496113.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
243,¡Canta!,(2016),A,108.0,7.1,59.0,170152.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
244,¡Canta! 2,(2021),A,110.0,7.4,49.0,67376.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,¡Rompe Ralph!,(2012),A/i,101.0,7.7,72.0,422163.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
246,¡Truco o trato Scooby-Doo!,(2022),10,72.0,5.7,NaN,1222.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
247,¿Quién engañó a Roger Rabbit?,(1988),A,104.0,7.7,83.0,201908.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
248,¿Qué pasaría si...?,(2021– ),12,32.0,7.4,NaN,113574.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
249,"Ésta es la gran calabaza, Charlie Brown",(1966 TV Movie),,25.0,8.2,NaN,19927.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
