,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HORROR,I,M,MUSIC,MYSTERY,N,ROMANCE,SCI-FI,SHORT,WAR
107,Ice Age. La edad de hielo,(2002),A,81.0,7.5,61.0,482388.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
108,Invincible,(2021– ),18,50.0,8.7,NaN,134607.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
109,James y el melocotón gigante,(1996),T,79.0,6.7,78.0,68275.0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
110,JoJo's Bizarre Adventure,(2012– ),16,30.0,8.4,NaN,23565.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,Jujutsu Kaisen,(2020– ),Not Rated,24.0,8.6,NaN,59723.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,Jujutsu Kaisen 0,(2021),12,105.0,7.8,71.0,18003.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
113,Kim Possible,(2002–2023),,30.0,7.2,NaN,28381.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Kung Fu Panda,(2008),A,92.0,7.6,74.0,468737.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
115,La LEGO película,(2014),A,100.0,7.7,83.0,355148.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,La asesina del romance,(2022– ),12,24.0,7.4,NaN,363.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,La bella y la bestia,(1991),T,84.0,8.0,95.0,454008.0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
118,La bruja novata,(1971),,117.0,7.0,59.0,38294.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119,La casa,(III) (2022),12,97.0,6.8,NaN,16158.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
120,La familia Addams,(2019),7,86.0,5.8,46.0,39741.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
121,La familia Addams 2,(2021),7,93.0,5.4,37.0,12448.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,La fiesta de las salchichas,(2016),16,89.0,6.1,66.0,195177.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,La joven Liga de la Justicia,(2010–2022),,23.0,8.7,NaN,41513.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,La leyenda de Korra,(2012–2014),12,23.0,8.4,NaN,121653.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125,La leyenda de Vox Machina,(2022– ),18,30.0,8.4,NaN,24205.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
126,La novia cadáver,(2005),7,77.0,7.3,83.0,273984.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
127,La patrulla canina,(2013– ),A,23.0,6.1,NaN,3375.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,La princesa Mononoke,(1997),7,134.0,8.4,76.0,392863.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,La remesa mala,(2021– ),6+,NaN,7.8,NaN,33633.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,La sirenita,(1989),A,83.0,7.6,88.0,263527.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
131,La tumba de las luciérnagas,(1988),13,89.0,8.5,94.0,275844.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
132,Las frikiaventuras de James y Max,(2022– ),,20.0,6.5,NaN,635.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,Lightyear,(2022),A/i,100.0,6.0,60.0,99619.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,Lilo & Stitch,(2002),A,85.0,7.3,73.0,191446.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"Lilo, mi amigo el cocodrilo",(2022),A,106.0,6.3,51.0,2000.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Little Demon,(2022– ),,26.0,6.7,NaN,2627.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
137,Lluvia de albóndigas,(2009),A,90.0,6.9,66.0,233510.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Lorax: En busca de la trúfula perdida,(2012),A/i,86.0,6.4,46.0,113939.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Los Increíbles,(2004),A,115.0,8.0,90.0,733108.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140,Los Increíbles 2,(2018),A,118.0,7.6,80.0,296028.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
141,Los Mitchell contra las máquinas,(2021),7,114.0,7.6,81.0,107815.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Los Simpson,(1989– ),7,22.0,8.7,NaN,405561.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Los minions,(2015),A,91.0,6.4,56.0,239390.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
144,Los mundos de Coraline,(2009),7,100.0,7.7,80.0,229291.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
145,Los tipos malos,(2022),A/i,100.0,6.8,64.0,35942.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,167469.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,Luca,(2021),6+,95.0,7.4,71.0,161232.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
148,Luck,(I) (2022),TP,105.0,6.4,48.0,17059.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
149,Mad God,(2021),,83.0,6.8,80.0,8037.0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
150,Madagascar,(2005),A,86.0,6.9,57.0,403861.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,Made in Abyss,(2017– ),16,325.0,8.4,NaN,11219.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Marcel the Shell with Shoes On,(2021),PG,90.0,7.9,81.0,6322.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
153,Mascotas,(2016),A/i,87.0,6.5,61.0,202758.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Megamind,(2010),A/i,95.0,7.3,63.0,262198.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
155,Mi vecino Totoro,(1988),A,86.0,8.1,86.0,337762.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
156,Mia y yo: La leyenda de Centopia,(2022),A,85.0,5.8,NaN,392.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,59600.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Mob Psycho 100,(2016– ),Not Rated,24.0,8.6,NaN,31405.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,Monster,(2004–2005),13,24.0,8.7,NaN,30907.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
160,Monster House,(2006),7,91.0,6.6,68.0,121349.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,Monstruos University,(2013),A,104.0,7.2,65.0,359652.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
162,Monstruos contra alienígenas,(2009),A,94.0,6.4,56.0,163052.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
163,"Monstruos, S.A.",(2001),A,92.0,8.1,79.0,904240.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
164,Mortal Kombat Legends: ciega de nieve,(2022 Video),R,82.0,6.6,NaN,1068.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165,Mulán,(1998),A,88.0,7.6,71.0,287924.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
166,Mundo extraño,(2022),PG,NaN,NaN,NaN,NaN,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,My Hero Academia,(2016– ),12,24.0,8.4,NaN,61489.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56366.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169,Naruto,(2002–2007),13,24.0,8.4,NaN,101345.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170,Naruto: Shippûden,(2007–2017),13,24.0,8.7,NaN,125207.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
171,Neon Genesis Evangelion,(1995–1996),TP,24.0,8.5,NaN,69671.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
172,Número 9,(I) (2009),13,79.0,7.0,60.0,140850.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,One Piece,(1999– ),13,24.0,8.9,NaN,124165.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,One Piece Film Red,(2022),12,115.0,7.1,NaN,4032.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
175,One Punch Man,(2015–2019),12,24.0,8.7,NaN,157930.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
176,Oni: La leyenda del dios del trueno,(2022),7,167.0,8.3,NaN,452.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Padre Made in USA,(2005– ),16,22.0,7.4,NaN,128031.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Padre de familia,(1999– ),18,22.0,8.2,NaN,337687.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Pantheon,(2022– ),,41.0,8.2,NaN,1873.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
180,Perfect Blue,(1997),18,81.0,8.0,67.0,76839.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
181,Pesadilla antes de Navidad,(1993),7,76.0,7.9,82.0,337243.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
182,Phineas y Ferb,(2007–2015),TP,15.0,8.1,NaN,46807.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,Pinocho de Guillermo del Toro,(II) (2022),,117.0,7.8,93.0,322.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
184,Pokémon,(1997– ),A,24.0,7.5,NaN,43235.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
185,Polar Express,(2004),A,100.0,6.6,61.0,207277.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
186,Primal,(2019– ),12,22.0,8.7,NaN,14769.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
