,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SHORT,TALK-SHOW,THRILLER,U
34,Bruce Mercury and the Band of Pirates: XXX Lust,(2020 Video),,NaN,6.3,NaN,578.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
35,Burlesque,(I) (2010),A,119.0,6.4,47.0,86593.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
36,CODA. Los sonidos del silencio,(2021),12,111.0,8.0,74.0,129391.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
37,Cabaret,(1972),,124.0,7.8,80.0,55509.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
38,Cabezas huecas,(1994),18,92.0,6.1,46.0,52174.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
39,Calles de fuego,(1984),18,93.0,6.7,59.0,21820.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,Casi famosos,(2000),7,122.0,7.9,90.0,276519.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,Cegados por el sol,(2015),16,125.0,6.4,74.0,30543.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
42,Cena en América,(2020),,106.0,7.3,80.0,3535.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,Chappelle's Show,(2003–2006),,22.0,8.8,NaN,64759.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
44,Chateau Christmas,(2020 TV Movie),,84.0,6.4,NaN,1473.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
45,Climax,(I) (2018),18,97.0,6.9,67.0,68839.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
46,Coco,(I) (2017),A,105.0,8.4,81.0,501318.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,Cold War,(2018),12,89.0,7.5,90.0,57340.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
48,Como humo se va,(1978),18,86.0,6.9,57.0,38838.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
49,Con faldas y a lo loco,(1959),A,121.0,8.2,98.0,267207.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
50,Control,(2007),R,122.0,7.6,78.0,65701.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
51,Corazones malheridos,(2022),,122.0,6.7,30.0,35623.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
