,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,I,MUSICAL,MYSTERY,NEWS,O,REALITY-TV,ROMANCE,S,SPORT,T,THRILLER,WAR,WESTERN
34,Cleopatra,(1963),14,192.0,7.0,60.0,33713.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,Cold Mountain,(2003),18,154.0,7.2,73.0,149543.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,Colette,(I) (2018),12,111.0,6.7,74.0,23943.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,Compliance,(2012),R,90.0,6.4,68.0,34978.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,Creadores de sombras,(1989),,127.0,6.5,50.0,7867.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,Cuando habla el corazón,(2014– ),12,43.0,7.9,NaN,13204.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
40,Cuando éramos soldados,(2002),18,143.0,7.1,65.0,142828.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,Cunk on Britain,(2016–2018),,30.0,8.2,NaN,1435.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,Curiosa,(2019),16,107.0,5.4,NaN,2464.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,Da Vinci's Demons,(2013–2015),12,60.0,7.9,NaN,76985.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,Dalui Yeonin - Bobogyungsim Ryeo,(2016),,60.0,8.7,NaN,8810.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,Dangerous Liaisons,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,Deadwood,(2004–2006),18,55.0,8.6,NaN,107450.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Descendientes,(2022),PG,109.0,7.0,88.0,351.0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"Deseo, peligro",(2007),18,157.0,7.5,61.0,42193.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
49,Dirilis: Ertugrul,(2014–2019),,120.0,7.9,NaN,36979.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,Domina,(2021– ),,60.0,7.0,NaN,3794.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,Drunk History,(2013–2019),,22.0,7.8,NaN,11428.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,Dunkerque,(2017),12,106.0,7.8,94.0,653110.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Día de patriotas,(2016),16,133.0,7.3,69.0,103566.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,El Chapo,(2017–2018),16,43.0,7.8,NaN,18607.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,El asesinato de Jesse James por el cobarde Robert Ford,(2007),12,160.0,7.5,68.0,182415.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,El buen pastor,(2006),13,167.0,6.7,61.0,103981.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
57,El crisol,(1996),13,124.0,6.8,75.0,38256.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,El discurso del rey,(2010),A,118.0,8.0,88.0,679890.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,El equipo redentor,(2022),7,97.0,7.4,76.0,6049.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
60,El espía,(2019),16,53.0,7.9,NaN,42542.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,El espía inglés,(2020),12,112.0,7.1,65.0,61095.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,El guerrero nº 13,(1999),13,102.0,6.6,42.0,125415.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,El hombre del norte,(2022),16,137.0,7.1,82.0,185376.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,El hundimiento,(2004),18,156.0,8.2,82.0,355624.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,El imperio del sol,(1987),A,153.0,7.7,62.0,126336.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
66,El intercambio,(2008),13,141.0,7.8,63.0,256006.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,El juicio de los 7 de Chicago,(2020),12,129.0,7.7,76.0,176822.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
68,El mundo en guerra,(1973–1974),,52.0,9.2,NaN,25917.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
69,El paraguas de la reina,(2022),,60.0,8.3,NaN,106.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,El patriota,(2000),13,165.0,7.2,63.0,275697.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,El puente de los espías,(2015),12,142.0,7.6,81.0,311334.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
72,El reino de los cielos,(2005),13,144.0,7.2,63.0,289173.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,El renacido (The Revenant),(2015),16,156.0,8.0,76.0,798928.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,El rey Arturo,(2004),13,126.0,6.3,46.0,168883.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,El rey proscrito,(2018),16,121.0,6.9,59.0,72596.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,El robo a Mussolini,(2022),16,90.0,5.5,NaN,829.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,El sangriento Imperio romano,(2016–2019),16,48.0,7.0,NaN,7980.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,El ídolo de Nueva York,(1937),,109.0,6.3,NaN,1091.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,El último baile,(2020),7,491.0,9.1,NaN,121935.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,El último duelo,(2021),16,152.0,7.4,67.0,154078.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,El último mohicano,(1992),13,112.0,7.7,76.0,170801.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,El último rey de Escocia,(2006),13,123.0,7.6,74.0,186978.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,Elegidos para el triunfo,(1993),T,98.0,7.0,60.0,104816.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,Elizabeth,(1998),13,124.0,7.4,75.0,99958.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,En el corazón del mar,(2015),12,122.0,6.9,47.0,139736.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,Enemigos públicos,(2009),13,140.0,7.0,70.0,303929.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,Espartaco,(1960),13,197.0,7.9,87.0,135443.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,Experimento en la prisión de Stanford,(2015),16,122.0,6.8,67.0,43130.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,Figuras ocultas,(2016),A/fig,127.0,7.8,74.0,229665.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,First Man (El primer hombre),(2018),7,141.0,7.3,84.0,188478.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,Foxcatcher,(2014),12,134.0,7.0,81.0,143330.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,Friends: The Reunion,(2021 TV Special),3,104.0,8.0,NaN,59601.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
93,Frontera,(2016–2018),16,60.0,7.1,NaN,21567.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,Gaslit,(2022),,60.0,7.3,NaN,5187.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,Genius,(I) (2017– ),12,43.0,8.2,NaN,18723.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96,Gentleman Jack,(2019–2022),16,60.0,8.2,NaN,13833.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,Gettysburg,(1993),18,271.0,7.6,NaN,29521.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
98,Greyhound: Enemigos bajo el mar,(2020),12,91.0,7.0,64.0,97221.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,Guerra y paz,(2016),,380.0,8.1,NaN,23766.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
100,Hamilton,(2020),12,160.0,8.4,90.0,93667.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Harriet: En busca de la libertad,(I) (2019),12/fig,125.0,6.7,66.0,27291.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,Hasta el último hombre,(2016),16,139.0,8.1,71.0,521412.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Hermanos de sangre,(2001),13,594.0,9.4,NaN,465207.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,Hero de Zhang Yimou,(2002),13,120.0,7.9,85.0,181809.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105,Hollywood,(2020),16,347.0,7.5,NaN,37053.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,Hotel Bombay,(2018),16,123.0,7.6,62.0,64480.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107,Hotel Halcyon,(2017),,60.0,7.4,NaN,2878.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
108,Hotel Rwanda,(2004),13,121.0,8.1,79.0,355680.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
109,Ip Man,(2008),13,106.0,8.0,59.0,224237.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,It's a Sin,(2021),16,239.0,8.7,NaN,31509.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111,JFK: Caso abierto,(1991),13,189.0,8.0,72.0,156645.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
112,Jamestown,(2017–2019),16,60.0,6.9,NaN,5081.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
113,John Adams,(2008),,71.0,8.5,NaN,33422.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,Judas y el mesías negro,(2021),16,126.0,7.4,85.0,79590.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,K-19: The Widowmaker,(2002),A,138.0,6.7,58.0,63967.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
116,Killers of the Flower Moon,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Knightfall,(2017–2019),18,60.0,6.8,NaN,20504.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
118,Kurulus: Osman,(2019– ),,120.0,7.5,NaN,9920.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,La Emperatriz,(2022– ),,55.0,7.9,NaN,7307.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,La chica del Vaticano: La desaparición de Emanuela Orlandi,(2022),12,233.0,7.2,NaN,1333.0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,La corona vacía,(2012–2016),12,150.0,8.2,NaN,6690.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
122,La dama de oro,(2015),7,109.0,7.3,51.0,59463.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
123,La delgada línea roja,(1998),13,170.0,7.6,78.0,188311.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
124,La emperatriz rebelde,(2022),,113.0,7.1,81.0,1162.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,La excavación,(2021),12,112.0,7.1,73.0,74868.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
126,La favorita,(2018),12,119.0,7.5,91.0,200278.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,La gran apuesta,(2015),12,130.0,7.8,81.0,429536.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,La gran evasión,(1963),18,172.0,8.2,86.0,244626.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
129,La guerra de Charlie Wilson,(2007),13,102.0,7.0,67.0,118995.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,La guerra de Vietnam,(2017),,990.0,9.1,NaN,24841.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
131,La leyenda del samurái: 47 Ronin,(2013),12,128.0,6.2,28.0,160945.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
132,La lista de Schindler,(1993),12,195.0,9.0,94.0,1345989.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,La loca historia del mundo,(1981),,92.0,6.8,47.0,50090.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
134,La misión,(1986),13,125.0,7.4,55.0,61804.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,La muerte de Stalin,(2017),16,107.0,7.2,88.0,103565.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
136,La mujer rey,(2022),PG-13,135.0,6.7,77.0,25086.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,La noche más oscura,(2012),16,157.0,7.4,95.0,301221.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
138,La odisea,(1997),13,176.0,7.0,NaN,15097.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
139,La pandilla,(1992),T,121.0,6.9,46.0,21125.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,La princesa blanca,(2017),,60.0,7.5,NaN,13173.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
141,La reina Victoria,(2009),A,105.0,7.2,64.0,62678.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
142,La reina blanca,(2013),16,60.0,7.7,NaN,28260.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
143,La vuelta al mundo en 80 días,(2021– ),TP,60.0,7.1,NaN,9685.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,Las hermanas Bolena,(2008),A,115.0,6.7,50.0,113830.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,Last Week Tonight with John Oliver,(2014– ),18,30.0,8.9,NaN,88996.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
146,Leonardo,(2021– ),,409.0,7.2,NaN,3539.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,Lincoln,(2012),7,150.0,7.3,86.0,261117.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
148,Lo imposible,(2012),12,114.0,7.5,73.0,224468.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
149,Los Borgia,(2011–2013),16,50.0,7.9,NaN,51493.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
150,Los Bridgerton,(2020– ),16,60.0,7.4,NaN,135204.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
151,Los Médici: Señores de Florencia,(2016–2019),18,60.0,7.9,NaN,19471.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Los Tudor,(2007–2010),18,60.0,8.1,NaN,75285.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
153,Los archivos del Pentágono,(2017),7,116.0,7.2,83.0,151518.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
154,Los demonios,(1971),,111.0,7.8,49.0,16474.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
155,Los diez mandamientos,(1956),A,220.0,7.9,NaN,71387.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,Los misteriosos asesinatos de Miss Fisher,(2012–2015),7,60.0,8.3,NaN,16244.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
