,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,M,MYSTERY,ROMANCE,S,SCI-FI,SHORT,T,THRILLER,WAR,Y
31,Crimen en el paraíso,(2011– ),TP,60.0,7.8,NaN,21250.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Crónicas vampíricas,(2009–2017),16,43.0,7.7,NaN,320567.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
33,Cómo defender a un asesino,(2014–2020),16,43.0,8.1,NaN,151395.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,Dark,(2017– ),16,60.0,8.7,NaN,376979.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
35,Decision to Leave,(2022),,139.0,7.3,84.0,12813.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36,Desaparecida sin rastro (Last seen alive),(2022),18,95.0,5.6,NaN,16828.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37,Desde dentro,(II) (2022),18,240.0,6.5,NaN,4774.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
38,Dexter,(2006–2013),18,53.0,8.7,NaN,723314.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
39,Dobaaraa,(2022),,132.0,4.2,NaN,19087.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
40,Donnie Darko,(2001),13,113.0,8.0,88.0,798784.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
41,Dualidad,(2022),16,326.0,5.9,NaN,10750.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
