,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,MUSICAL,MYSTERY,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,THRILLER
166,Mr. Midnight: Cuidado con los monstruos,(2022),18,28.0,5.2,NaN,219.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
167,Muñeco diabólico,(1988),13,87.0,6.6,58.0,104179.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
168,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56366.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
169,Múltiple,(IX) (2016),16,117.0,7.3,62.0,495061.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
170,No respires,(2016),16,88.0,7.1,71.0,274841.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
171,Noche de bodas,(I) (2019),16,95.0,6.8,64.0,150975.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
172,Noche de miedo,(1985),13,106.0,7.0,62.0,71885.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
173,Noche de miedo,(2011),16,106.0,6.4,64.0,107811.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
174,Nosotros,(II) (2019),16,116.0,6.8,81.0,296758.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
175,Otra vuelta de tuerca,(2020),16,94.0,3.9,35.0,14563.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
176,Pearl,(2022),R,103.0,7.1,73.0,18136.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
177,Pesadilla en Elm Street,(1984),18,91.0,7.4,76.0,240583.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
178,Pesadilla en Elm Street. El origen,(2010),16,95.0,5.2,35.0,101629.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
179,Pesadillas,(2015),7,103.0,6.3,60.0,89492.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
180,Poltergeist. Fenómenos extraños,(1982),14,114.0,7.3,79.0,165197.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
