,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,I,L,MYSTERY,R,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
169,Pasaba por aquí,(2022),16,110.0,6.1,57.0,21912.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
170,Pequeñas mentirosas,(2010–2017),13,44.0,7.4,NaN,167392.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
171,Pequeños detalles,(2021),12,128.0,6.3,54.0,101772.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
172,Perdidos,(2004–2010),16,44.0,8.3,NaN,551141.0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
173,Person of Interest,(2011–2016),12,43.0,8.5,NaN,176335.0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
174,Poirot,(1989–2013),7,100.0,8.6,NaN,45737.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
175,Poltergeist. Fenómenos extraños,(1982),14,114.0,7.3,79.0,165197.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
176,Por mandato del cielo,(2022),18,472.0,7.5,NaN,23520.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
177,Predator: La presa,(I) (2022),18,99.0,7.2,71.0,179312.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
178,Prey for the Devil,(2022),PG-13,93.0,5.2,38.0,2117.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
179,Prisioneros,(2013),16,153.0,8.1,70.0,705342.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
180,Prison Break,(2005–2017),13,44.0,8.3,NaN,532694.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
181,Psicosis,(1960),13,109.0,8.5,97.0,668807.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
182,Puñales por la espalda,(2019),12,130.0,7.9,82.0,618655.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
183,Puñales por la espalda: El misterio de Glass Onion,(2022),PG-13,139.0,8.1,81.0,1209.0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
184,Reacher,(2022– ),16,49.0,8.1,NaN,119236.0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
185,Run Sweetheart Run,(2020),R,104.0,5.3,49.0,1570.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
186,S.W.A.T.: Los hombres de Harrelson,(2017– ),12,43.0,7.1,NaN,23838.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
187,Saw,(2004),18,103.0,7.6,46.0,421661.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
188,Scream,(I) (2022),16,114.0,6.3,60.0,109553.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
189,Scream 6,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
190,Separación,(2022– ),16,55.0,8.7,NaN,109979.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
191,Seven,(1995),18,127.0,8.6,65.0,1637065.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
192,Shantaram,(2022– ),18,NaN,7.9,NaN,3382.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,Shazam! Fury of the Gods,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
194,Sherlock,(2010–2017),13,88.0,9.1,NaN,919215.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
195,Shutter Island,(2010),13,138.0,8.2,63.0,1300516.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
196,Significant Other,(2022),R,84.0,5.7,57.0,4333.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
197,Sin tiempo para morir,(2021),12,163.0,7.3,68.0,394299.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
198,Sinister,(I) (2012),16,110.0,6.8,53.0,253830.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
199,Slow Horses,(2022– ),16,NaN,7.7,NaN,23329.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
200,Sobrenatural,(2005–2020),12,44.0,8.4,NaN,443048.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
201,Solo asesinatos en el edificio,(2021– ),12,30.0,8.1,NaN,99702.0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202,Speak No Evil,(2022),,97.0,6.6,78.0,14180.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
203,Spy x Family,(2022– ),,24.0,8.6,NaN,22336.0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
204,Stars at Noon,(2022),R,135.0,5.4,64.0,1063.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
205,Stranger Things,(2016– ),16,51.0,8.7,NaN,1167671.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
206,Suspiria,(I) (2018),18,152.0,6.7,64.0,78557.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
207,Teen Wolf,(2011–2017),16,41.0,7.7,NaN,148115.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
208,Tenet,(2020),12,150.0,7.3,69.0,497083.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
209,Terrifier,(2016),,85.0,5.6,NaN,27849.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
210,The Batman,(2022),12,176.0,7.9,72.0,615648.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
211,The Blacklist,(2013– ),16,43.0,8.0,NaN,248031.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
212,The Capture,(2019– ),13,60.0,7.9,NaN,17339.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
213,The Devil's Hour,(2022– ),16,60.0,7.8,NaN,2585.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
214,The Equalizer,(2021– ),,43.0,5.3,NaN,13045.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
215,The Ex-Wife,(2022– ),,NaN,6.5,NaN,357.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
216,The King's Man: La primera misión,(2021),16,131.0,6.3,44.0,144318.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
217,The Last of Us,(2023– ),,NaN,NaN,NaN,NaN,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
218,The Leftovers,(2014–2017),18,60.0,8.3,NaN,98434.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
219,The Old Man,(2022– ),,61.0,7.7,NaN,33031.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
220,The Pact,(I) (2021– ),,60.0,6.9,NaN,3438.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
221,The Pale Blue Eye,(2022),R,128.0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
222,The Peripheral,(2022– ),16,NaN,8.3,NaN,12512.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
223,The Punisher,(2017–2019),16,53.0,8.5,NaN,234558.0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
224,The Sinner,(2017–2021),16,45.0,7.9,NaN,122952.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
225,The Walking Dead,(2010–2022),18,44.0,8.1,NaN,978833.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
226,The Winchesters,(2022– ),,42.0,6.7,NaN,3716.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
227,The Wire (Bajo escucha),(2002–2008),18,59.0,9.3,NaN,337810.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
228,The descent,(2005),18,99.0,7.2,71.0,226065.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
229,The legend of Maula Jatt,(2022),,153.0,8.9,NaN,7546.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
230,Tiempo,(2021),16,108.0,5.8,55.0,118887.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
231,Titane,(2021),18,108.0,6.6,75.0,45295.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
232,Toc Toc,(I) (2015),16,99.0,4.9,53.0,95488.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
233,Trece vidas,(2022),18,147.0,7.8,66.0,48236.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
234,True Blood,(2008–2014),18,55.0,7.9,NaN,245627.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
235,True Detective,(2014–2019),16,55.0,8.9,NaN,566888.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
236,Turno de día,(2022),16,113.0,6.1,51.0,71406.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
237,Twin Peaks,(1990–1991),13,47.0,8.8,NaN,197330.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
238,Veronica Mars,(2004–2019),7,44.0,8.4,NaN,73507.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
239,Viernes 13,(1980),18,95.0,6.4,22.0,141154.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
240,Viernes 13,(2009),18,97.0,5.5,34.0,108874.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
241,Vigilante,(2022),16,332.0,6.5,NaN,38581.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
242,Watcher,(I) (2022),R,91.0,6.3,71.0,21379.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
243,X,(II) (2022),18,105.0,6.6,79.0,81839.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
244,Yellowjackets,(2021– ),16,60.0,7.9,NaN,45906.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
245,You,(2018– ),16,45.0,7.7,NaN,237699.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
246,¡Nop!,(2022),12,130.0,6.9,77.0,148612.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
247,Ámsterdam,(2022),12,134.0,6.2,48.0,14036.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
248,Élite,(2018– ),13,60.0,7.4,NaN,78155.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
249,Última noche en el Soho,(2021),16,116.0,7.1,65.0,134027.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
