,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,I,L,MYSTERY,R,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
33,Cincuenta sombras de Grey,(2015),18,125.0,4.1,46.0,320423.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
34,Cisne negro,(2010),12,108.0,8.0,79.0,763939.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
35,Colombo,(1971–2003),16,100.0,8.3,NaN,35492.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
36,Crimen en el paraíso,(2011– ),TP,60.0,7.8,NaN,21250.0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,Crónicas vampíricas,(2009–2017),16,43.0,7.7,NaN,320567.0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
38,Cyberpunk: Edgerunners,(2022– ),16,24.0,8.4,NaN,39360.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,Dahmer - Monstruo: La historia de Jeffrey Dahmer,(2022),18,534.0,8.0,NaN,99893.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,Daredevil,(2015–2018),18,54.0,8.6,NaN,438493.0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Dark,(2017– ),16,60.0,8.7,NaN,376979.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
42,Decision to Leave,(2022),,139.0,7.3,84.0,12813.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
43,Demon Slayer: Kimetsu no Yaiba,(2019– ),Not Rated,24.0,8.7,NaN,100653.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,Desaparecida sin rastro (Last seen alive),(2022),18,95.0,5.6,NaN,16828.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
45,Desde dentro,(II) (2022),18,240.0,6.5,NaN,4774.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
46,Destino final,(2000),13,98.0,6.7,36.0,256874.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
47,Detective Knight: Rogue,(2022),R,105.0,3.6,NaN,452.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
48,Dexter,(2006–2013),18,53.0,8.7,NaN,723314.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
49,Dobaaraa,(2022),,132.0,4.2,NaN,19087.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
50,Doctor Sueño,(2019),16,152.0,7.3,59.0,192544.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
51,Donnie Darko,(2001),13,113.0,8.0,88.0,798784.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
52,Déjame salir,(I) (2017),16,104.0,7.7,85.0,602285.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
53,El agente invisible,(2022),16,122.0,6.5,49.0,185566.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
54,El caballero oscuro,(2008),12,152.0,9.0,84.0,2629935.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,El callejón de las almas perdidas,(2021),16,150.0,7.0,70.0,140856.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
56,El club de la medianoche,(2022– ),16,60.0,6.6,NaN,17660.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
57,El cuento de la criada,(2017– ),18,60.0,8.4,NaN,232511.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
58,El diablo en Ohio,(2022),16,356.0,5.9,NaN,13424.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
59,El extraño,(II) (2022),16,117.0,6.6,74.0,8179.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
60,El gabinete de curiosidades de Guillermo del Toro,(2022– ),18,60.0,7.5,NaN,13581.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
61,El hombre del norte,(2022),16,137.0,7.1,82.0,185376.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,El insoportable peso de un talento descomunal,(2022),12,107.0,7.0,68.0,78598.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,El juego del calamar,(2021– ),16,55.0,8.0,NaN,439740.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
