,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,GAME-SHOW,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,THRILLER,V,WAR,WESTERN
37,Cuenta conmigo,(1986),A,89.0,8.1,75.0,402979.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Cyberpunk: Edgerunners,(2022– ),16,24.0,8.4,NaN,39360.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,DC Liga de Supermascotas,(2022),TP,105.0,7.3,56.0,59215.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Deadpool,(2016),18,108.0,8.0,65.0,1029694.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,Deadpool 2,(2018),18,119.0,7.7,66.0,577785.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Demon Slayer: Kimetsu no Yaiba,(2019– ),Not Rated,24.0,8.7,NaN,100653.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,Dentro del laberinto,(1986),A,101.0,7.3,50.0,137946.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
44,Depredador,(1987),18,107.0,7.8,47.0,422874.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
45,Desencantada: Vuelve Giselle,(2022),PG,NaN,NaN,NaN,NaN,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Destino: La saga Winx,(2021–2022),16,NaN,6.8,NaN,47261.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Doce del patíbulo,(1967),18,150.0,7.7,73.0,74047.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
48,Doctor Strange en el multiverso de la locura,(2022),12,126.0,6.9,60.0,399981.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,Doctor Who,(1963–1989),,45.0,8.4,NaN,37581.0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,Doctor Who,(2005– ),13,45.0,8.6,NaN,224101.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,Doom Patrol,(2019– ),16,60.0,7.8,NaN,51832.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,Dune,(2021),12,155.0,8.0,74.0,621819.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Dune: Part Two,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,E.T. El extraterrestre,(1982),A,115.0,7.9,91.0,408593.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
55,El Espíritu de Bridge Hollow,(2022),12,89.0,5.6,38.0,7313.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,El Pacificador,(2022– ),16,40.0,8.3,NaN,108491.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"El bueno, el feo y el malo",(1966),13,182.0,8.8,90.0,757687.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
