,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,HISTORY,HORROR,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SPORT,THRILLER,W,WAR
39,El patriota,(2000),13,165.0,7.2,63.0,275697.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
40,El pelotón chiflado,(1981),13,106.0,6.8,68.0,74569.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41,El pianista,(2002),13,150.0,8.5,85.0,825953.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
42,El puente de los espías,(2015),12,142.0,7.6,81.0,311334.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
43,El puente sobre el río Kwai,(1957),A,161.0,8.2,87.0,220923.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
44,El reino de los cielos,(2005),13,144.0,7.2,63.0,289173.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,El rey Arturo,(2004),13,126.0,6.3,46.0,168883.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,El rey proscrito,(2018),16,121.0,6.9,59.0,72596.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,El sangriento Imperio romano,(2016–2019),16,48.0,7.0,NaN,7980.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
48,El submarino (Das Boot),(1981),13,149.0,8.4,86.0,251061.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
49,El ídolo de Nueva York,(1937),,109.0,6.3,NaN,1091.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
50,El último mohicano,(1992),13,112.0,7.7,76.0,170801.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,El único superviviente,(2013),16,121.0,7.5,60.0,288259.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,En tierra hostil,(2008),13,131.0,7.5,95.0,451726.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
53,Enemigo a las puertas,(2001),13,131.0,7.6,53.0,263044.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
54,Espartaco,(1960),13,197.0,7.9,87.0,135443.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
55,Expend4bles,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
56,Expiación. Más allá de la pasión,(2007),13,123.0,7.8,85.0,278579.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
57,Fallout,(2022– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
58,Foyle's War,(2002–2015),,90.0,8.6,NaN,15678.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
59,Generation Kill,(2008),,70.0,8.5,NaN,54016.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
60,Ghosts of War,(2020),R,94.0,5.6,38.0,10527.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
61,"Good Morning, Vietnam",(1987),TP,121.0,7.3,67.0,142049.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
62,Greyhound: Enemigos bajo el mar,(2020),12,91.0,7.0,64.0,97221.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
63,Guerra y paz,(2016),,380.0,8.1,NaN,23766.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
64,Halo,(2022– ),,60.0,7.1,NaN,58943.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
65,Har Har Mahadev,(2022),,161.0,8.3,NaN,1224.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
66,Hasta el último hombre,(2016),16,139.0,8.1,71.0,521412.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
67,Hermanos de sangre,(2001),13,594.0,9.4,NaN,465207.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
68,Hooligans,(2005),R,109.0,7.4,55.0,151754.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
69,Hotel Halcyon,(2017),,60.0,7.4,NaN,2878.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
70,Hotel Rwanda,(2004),13,121.0,8.1,79.0,355680.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
71,Héroes rebeldes de SAS,(2022),18,NaN,8.1,NaN,1318.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
