,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,H,HISTORY,HORROR,MUSIC,MUSICAL,MYSTERY,NEWS,O,R,ROMANCE,S,SCI-FI,SHORT,SPORT,T,THRILLER,WESTERN
33,Camp Belvidere,(2014),,38.0,6.4,NaN,983.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
34,Campamento mágico,(2018– ),TP,NaN,7.7,NaN,1564.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
35,Cashback,(2004),,18.0,7.6,NaN,10863.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
36,Centauria,(2021),7,25.0,7.7,NaN,2197.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
37,Cerdita,(2018),16,14.0,6.7,NaN,737.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
38,Charmsukh,(2019– ),,18.0,7.3,NaN,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
39,Chowder,(2007–2010),A,11.0,7.4,NaN,14129.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
40,Clarence,(2013–2018),TP,23.0,6.8,NaN,9913.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
41,"Clifford, el gran perro rojo",(2000–2003),,30.0,6.5,NaN,4962.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
42,Colegio Abbott,(2021– ),12,22.0,8.2,NaN,15463.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
43,Como entrenar tu dragón: vuelta a casa,(2019 TV Short),TP,22.0,7.3,NaN,3961.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,Curious George,(2006–2022),,30.0,7.2,NaN,2616.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,Curve,(2016),,10.0,6.9,NaN,797.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
46,Cyberchase,(2002– ),,30.0,6.9,NaN,2631.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,DC Showcase: Superman/Shazam!: El regreso de Black Adam,(2010 Video),A,25.0,7.0,NaN,8426.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
48,Dhar Mann,(2018–2022),,NaN,4.6,NaN,901.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,Dino Dana,(2017–2020),TP,22.0,7.2,NaN,512.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
50,Dior: I'm your Man - Dior Homme,(2020 Video),,1.0,8.3,NaN,491.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
