,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,HISTORY,MYSTERY,O,P,R,ROMANCE,S,SCI-FI,SPORT,T,TALK-SHOW,THRILLER
38,Creed II. La leyenda de Rocky,(2018),16,130.0,7.1,66.0,125752.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
39,Creed III,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40,Creed. La leyenda de Rocky,(II) (2015),12,133.0,7.6,82.0,273956.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
41,Cuestión de pelotas,(2004),13,92.0,6.7,55.0,250527.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,Dangal,(2016),A,161.0,8.3,NaN,190786.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,De culo y cuesta abajo,(2009–2013),18,28.0,8.2,NaN,58497.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44,Decisión final,(I) (2014),7,110.0,6.8,54.0,60981.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
45,Dejenlos jugar,(1977),,100.0,5.6,47.0,3367.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
46,Diario de un rebelde,(1995),13,102.0,7.3,46.0,112093.0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,Disparatada patrulla de esquí,(1990),A,91.0,5.1,13.0,3801.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
48,Doce huérfanos,(2021),12,118.0,6.9,44.0,5327.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
49,Driven,(2001),13,116.0,4.6,29.0,41530.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
50,Días de trueno,(1990),A,107.0,6.1,60.0,89568.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,Eddie el Águila,(2015),A,106.0,7.3,54.0,93945.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,El Míster,(2021– ),9+,NaN,7.5,NaN,4446.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
53,El aguador,(1998),T,90.0,6.1,41.0,165176.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
54,El arte de vivir bajo la lluvia,(2019),A,109.0,7.5,43.0,31805.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
55,El buscavidas,(1961),18,134.0,8.0,90.0,82367.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
56,El campeón del videojuego,(1989),,96.0,6.0,23.0,15639.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,El caso Fischer,(2014),7,115.0,7.0,65.0,45977.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
58,El castañazo,(1977),18,123.0,7.3,61.0,37886.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
59,El cielo puede esperar,(1978),13,101.0,6.9,72.0,21614.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
60,El clan de los rompehuesos,(2005),13,113.0,6.4,48.0,180242.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
61,El club de los chalados,(1980),,98.0,7.2,48.0,118546.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
62,El color del dinero,(1986),A,119.0,7.0,77.0,85239.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
63,El equipo redentor,(2022),7,97.0,7.4,76.0,6049.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
64,El farsante,(2005),PG-13,94.0,5.8,46.0,37246.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
65,El gran Maurice,(2021),PG-13,106.0,7.0,65.0,3649.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
66,El gran azul,(1988),13,168.0,7.5,35.0,52043.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
67,El juego más frío,(2019),,102.0,6.2,NaN,11124.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
68,El luchador,(2008),13,109.0,7.9,80.0,306600.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
69,El mejor,(1984),A,138.0,7.4,61.0,49531.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
70,El milagro,(2004),PG,135.0,7.4,68.0,55032.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
71,El método Williams,(2021),12,144.0,7.5,76.0,110531.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
72,El novato del año,(1993),PG,103.0,6.0,53.0,28725.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
73,El nuevo Karate Kid,(1994),T,107.0,4.5,36.0,31302.0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
74,El regreso de los mejores,(1996),7,104.0,5.4,NaN,27260.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,El relevo,(1979),A,101.0,7.7,91.0,23996.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
76,El superviviente de Auschwitz,(2021),R,129.0,6.7,71.0,3600.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
77,El último baile,(2020),7,491.0,9.1,NaN,121935.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
78,El último dragón,(1985),13,109.0,6.8,58.0,16105.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,Elegidos para el triunfo,(1993),T,98.0,7.0,60.0,104816.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
80,Ella es el chico,(2006),A,105.0,6.3,45.0,160366.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
81,Ellas dan el golpe,(1992),A,128.0,7.3,69.0,109980.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
82,Ellas dan el golpe,(2022– ),,60.0,7.4,NaN,20925.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
83,En el filo de las olas,(2002),A,104.0,5.7,61.0,31692.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
84,Entre el amor y el juego,(1999),A,137.0,6.6,43.0,35508.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
85,Entrenador,(1989–1997),,30.0,7.0,NaN,7578.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
86,Equipo a la fuerza,(2000),7,118.0,6.6,30.0,65616.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
87,Facing Nolan,(2022),,102.0,8.0,73.0,931.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
88,Flipado sobre ruedas,(2007),PG-13,88.0,6.7,43.0,87265.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
89,Foxcatcher,(2014),12,134.0,7.0,81.0,143330.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
90,Free Solo,(2018),Not Rated,100.0,8.1,83.0,68585.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
91,Friday Night Lights,(2006–2011),13,44.0,8.7,NaN,66712.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
92,Fórmula 1: La emoción de un Grand Prix,(2019– ),12,40.0,8.6,NaN,40285.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
93,GLOW,(2017–2019),13,35.0,8.0,NaN,46760.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
