,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,HISTORY,MYSTERY,O,P,R,ROMANCE,S,SCI-FI,SPORT,T,TALK-SHOW,THRILLER
160,Papá por sorpresa,(2007),7,110.0,6.1,44.0,66969.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
161,Pasado de vueltas,(2006),18,108.0,6.6,66.0,185718.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
162,Pasión por el triunfo,(1992),T,101.0,6.9,53.0,20786.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
163,Patinazo a la gloria,(2007),7,93.0,6.3,64.0,169765.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
164,Peleando en familia,(2019),12,108.0,7.1,68.0,81618.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165,Pequeños gigantes,(1994),TP,107.0,6.4,NaN,29050.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
166,Peso pesado,(2012),7,105.0,6.4,40.0,91971.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
167,Pesos pesados,(1995),PG,100.0,6.6,42.0,28375.0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
168,Pirados por la nieve,(2001),13,92.0,6.2,22.0,17730.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
169,Point Break (Sin límites),(2015),12,114.0,5.3,34.0,63305.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
170,Promesa sangrienta,(2009),16,93.0,6.7,NaN,33945.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,Quiero ser como Beckham,(2002),A,115.0,6.7,66.0,111261.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
172,Quién lo diría,(1996 TV Movie),,96.0,6.6,NaN,2631.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
173,Red Oaks,(2014–2017),18,30.0,7.9,NaN,11899.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
174,Redención,(2015),12,124.0,7.3,57.0,237598.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
175,Regreso a la escuela,(1986),,96.0,6.6,68.0,33136.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
176,Rocky,(1976),18,120.0,8.1,70.0,573507.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
177,Rocky Balboa,(2006),7,102.0,7.1,63.0,217202.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
178,Rocky II,(1979),14,119.0,7.3,61.0,210161.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
179,Rocky III,(1982),14,99.0,6.8,57.0,191686.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
180,Rocky IV,(1985),18,91.0,6.8,40.0,205958.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
181,Rocky V,(1990),18,104.0,5.3,55.0,138100.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
182,Roller Girls,(2009),PG-13,111.0,6.9,68.0,67830.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
183,"Rollerball, ¿un futuro próximo?",(1975),,125.0,6.6,56.0,25687.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
184,Rompedientes,(I) (2010),PG,101.0,5.0,36.0,46881.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
185,Rompehuesos,(1974),,121.0,7.1,61.0,19537.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
186,Rompiendo las reglas,(2008),18,113.0,6.5,39.0,102132.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
187,Rudy. Reto a la gloria,(1993),T,114.0,7.5,71.0,64216.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
188,"Rumble, la liga de los monstruos",(2021),PG,95.0,5.9,48.0,6629.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
189,Rush,(I) (2013),12,123.0,8.1,74.0,478825.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
190,Sacrificio de leyenda,(2016),R,117.0,6.8,62.0,27784.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
191,"Seabiscuit, más allá de la leyenda",(2003),A,140.0,7.3,72.0,73599.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
192,Secretos del deporte: La novia que no existía,(2022),7,124.0,7.2,NaN,5691.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
193,Semi-Profesional: Un equipo de pelotas,(2008),R,91.0,5.8,47.0,83109.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
194,Shaolin Soccer,(2001),PG,113.0,7.3,68.0,81206.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
195,Shelter,(II) (2007),R,97.0,7.6,66.0,22784.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
196,Shoresy,(2022),,24.0,8.5,NaN,4219.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
197,Sin aliento,(2022),16,118.0,5.8,NaN,2417.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
198,Somos los mejores,(1992),A,104.0,6.5,46.0,66993.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
199,Somos los mejores: Una nueva era,(2021– ),6+,40.0,7.4,NaN,4987.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
200,Soul Surfer: Alma surfera,(2011),A,112.0,7.0,53.0,50107.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
201,Space Jam,(1996),A,88.0,6.5,59.0,198345.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
202,Space Jam: Nuevas leyendas,(2021),7,115.0,4.5,36.0,71724.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
203,Speed Racer,(2008),7,135.0,6.0,37.0,74270.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
204,Spinning Out,(2020),13,48.0,7.6,NaN,14805.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
205,Spy Kids 4: Todo el tiempo del mundo,(2011),A,89.0,3.5,37.0,25810.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
206,Stick It,(2006),A,103.0,6.3,53.0,29267.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
207,Super Nacho,(2006),PG,92.0,5.8,52.0,88270.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
208,Superación: La historia de la familia Antetokounmpo,(II) (2022),6+,113.0,7.0,74.0,6421.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
209,Swagger,(2021– ),12,60.0,7.1,NaN,1878.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
210,Tales from the Territories,(2022– ),,NaN,8.5,NaN,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
211,Ted Lasso,(2020– ),12,30.0,8.8,NaN,208194.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
212,Terminagolf,(1996),A,92.0,7.0,31.0,226329.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
213,The Blind Side: Un sueño posible,(2009),13,129.0,7.6,53.0,332141.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
214,The Boys in the Boat,,,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
215,The Fastest Woman on Earth,(2022),,104.0,7.5,NaN,208.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
216,The Fighter,(I) (2010),12,116.0,7.8,79.0,367961.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
217,The Game,(2006–2015),,21.0,6.8,NaN,4518.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
218,The Game,(2021– ),,30.0,6.7,NaN,474.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
219,The Grand Tour,(2016– ),16,60.0,8.7,NaN,75324.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
220,The Karate Kid,(2010),7,140.0,6.2,61.0,184620.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
221,The Sandlot: Historia de un verano,(1993),A,101.0,7.8,55.0,92892.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
222,The Way Back,(I) (2020),12,108.0,6.7,66.0,46742.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
223,Tiempo de victoria: La dinastía de Los Lakers,(2022– ),16,59.0,8.3,NaN,19608.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
224,Tin Cup,(1996),T,135.0,6.4,60.0,50795.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
225,Titanes: Hicieron historia,(2000),7,113.0,7.8,48.0,216132.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
226,Tocando el vacío,(2003),R,106.0,8.0,82.0,36103.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
227,Toro salvaje,(1980),13,129.0,8.2,89.0,353535.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
228,Tres pequeños Ninjas,(1992),A,84.0,5.3,36.0,21953.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
229,Turbo,(2013),A,96.0,6.4,58.0,98283.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,Un domingo cualquiera,(1999),13,162.0,6.9,52.0,120476.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
231,Un entrenador genial,(2005),PG,95.0,5.6,45.0,38627.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
232,Un juego de caballeros,(2020),12,281.0,7.6,NaN,15072.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
233,Un momento en el tiempo - Waves,(I) (2019),16,135.0,7.5,80.0,25878.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
234,Una mala jugada,(1998),R,136.0,6.9,64.0,48532.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
235,Una mujer en la liga,(1989),,107.0,7.2,62.0,70302.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
236,Una oración antes del amanecer,(2017),18,116.0,6.8,76.0,23815.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
237,Una pandilla de altura,(2002),A,99.0,5.3,47.0,21145.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
238,Una pandilla de pelotas,(2005),7,113.0,5.8,65.0,21855.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
239,Untitled Formula One/Joseph Kosinski Project,,,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
240,Vaya par de idiotas,(1996),13,114.0,6.9,43.0,85113.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
241,Vuelven los mejores,(1994),13,106.0,6.1,NaN,40833.0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
242,WWE Raw,(1993– ),,60.0,7.7,NaN,9157.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
243,Warrior,(2011),12,140.0,8.2,71.0,471760.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
244,Welcome to Wrexham,(2022– ),,28.0,8.3,NaN,7340.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
245,"Yo, Tonya",(2017),16,119.0,7.5,77.0,215804.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
246,"Yo, el Halcón",(1987),A,93.0,5.8,40.0,55242.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
247,Youngblood (Forja de campeón),(1986),,110.0,6.2,51.0,14913.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
248,¡Goool!,(2005),PG,118.0,6.7,53.0,63692.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
249,Ángeles,(1994),T,102.0,6.2,44.0,32464.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
